SDATA,TZ,TP
2024-01-04 22:00,6.6,13.1
2024-01-04 23:00,6.3,14.1
2024-01-05 00:00,6.1,10.3
2024-01-05 01:00,5.9,13.1
2024-01-05 02:00,5.9,13.1
2024-01-05 03:00,6.1,11.0
2024-01-05 04:00,6.1,13.1
2024-01-05 05:00,6.1,12.9
2024-01-05 06:00,6.1,12.9
2024-01-05 07:00,5.9,5.9
2024-01-05 08:00,6.1,7.5
2024-01-05 09:00,6.1,13.4
2024-01-05 10:00,6.3,13.4
2024-01-05 11:00,6.6,9.4
2024-01-05 12:00,6.6,13.1
2024-01-05 13:00,6.6,8.2
2024-01-05 14:00,6.3,8.9
2024-01-05 15:00,6.6,10.3
2024-01-05 16:00,6.6,11.5
2024-01-05 17:00,6.6,12.2
2024-01-05 18:00,6.1,8.9
2024-01-05 19:00,6.3,12.0
2024-01-05 20:00,6.3,9.8
2024-01-05 21:00,6.3,9.1
2024-01-05 22:00,6.3,10.3
2024-01-05 23:00,6.3,10.5
2024-01-06 00:00,,12.0
2024-01-06 01:00,6.8,12.2
2024-01-06 02:00,6.8,11.5
2024-01-06 03:00,6.8,11.7
2024-01-06 04:00,6.8,11.5
2024-01-06 05:00,6.8,12.0
2024-01-06 06:00,6.6,12.0
2024-01-06 07:00,7.0,11.3
2024-01-06 08:00,6.6,11.7
2024-01-06 09:00,6.6,10.3
2024-01-06 10:00,6.6,12.0
2024-01-06 11:00,6.1,11.3
2024-01-06 12:00,6.1,10.5
2024-01-06 13:00,6.3,10.8
2024-01-06 14:00,6.6,10.1
2024-01-06 15:00,7.3,11.7
2024-01-06 16:00,7.3,11.0
2024-01-06 17:00,7.0,10.8
2024-01-06 18:00,7.0,11.0
2024-01-06 19:00,7.0,10.8
2024-01-06 20:00,6.8,10.5
2024-01-06 21:00,7.3,11.5
2024-01-06 22:00,6.6,10.5
2024-01-06 23:00,6.6,11.0
2024-01-07 00:00,5.6,9.6
2024-01-07 01:00,6.1,10.5
2024-01-07 02:00,5.9,11.3
2024-01-07 03:00,6.1,11.0
2024-01-07 04:00,5.4,9.8
2024-01-07 05:00,5.2,10.8
2024-01-07 06:00,5.2,9.4
2024-01-07 07:00,4.9,9.8
2024-01-07 08:00,4.9,10.5
2024-01-07 09:00,4.9,10.3
2024-01-07 10:00,4.7,9.1
2024-01-07 11:00,5.2,10.5
2024-01-07 12:00,4.7,9.8
2024-01-07 13:00,4.7,9.6
2024-01-07 14:00,4.7,10.1
2024-01-07 15:00,4.7,7.5
2024-01-07 16:00,4.7,9.4
2024-01-07 17:00,5.2,9.4
2024-01-07 18:00,4.9,9.8
2024-01-07 19:00,5.2,9.1
2024-01-07 20:00,4.9,10.8
2024-01-07 21:00,4.7,10.1
2024-01-07 22:00,5.2,10.1
2024-01-07 23:00,5.9,10.3
2024-01-08 00:00,5.9,10.5
2024-01-08 01:00,6.6,17.1
2024-01-08 02:00,8.4,16.9
2024-01-08 03:00,8.2,16.4
2024-01-08 04:00,10.8,15.7
2024-01-08 05:00,12.0,15.9
2024-01-08 06:00,9.8,15.7
2024-01-08 07:00,11.3,15.5
2024-01-08 08:00,11.7,15.2
2024-01-08 09:00,11.0,14.8
2024-01-08 10:00,11.0,14.5
2024-01-08 11:00,11.3,14.5
2024-01-08 12:00,12.2,14.5
2024-01-08 13:00,11.7,13.6
2024-01-08 14:00,11.3,14.3
2024-01-08 15:00,11.3,13.8
2024-01-08 16:00,10.1,13.6
2024-01-08 17:00,8.7,13.1
2024-01-08 18:00,8.9,13.4
2024-01-08 19:00,8.0,13.1
2024-01-08 20:00,6.8,13.4
2024-01-08 21:00,6.3,13.4
2024-01-08 22:00,5.9,12.2
2024-01-08 23:00,6.6,13.4
2024-01-09 00:00,5.6,12.7
2024-01-09 01:00,5.9,12.2
2024-01-09 02:00,6.3,12.9
2024-01-09 03:00,7.0,18.5
2024-01-09 04:00,7.0,18.5
2024-01-09 05:00,7.3,12.9
2024-01-09 06:00,7.7,17.6
2024-01-09 07:00,7.3,17.6
2024-01-09 08:00,7.0,17.3
2024-01-09 09:00,7.7,16.9
2024-01-09 10:00,7.7,17.1
2024-01-09 11:00,8.2,16.4
2024-01-09 12:00,9.4,16.4
2024-01-09 13:00,8.7,15.5
2024-01-09 14:00,11.0,15.7
2024-01-09 15:00,9.8,16.2
2024-01-09 16:00,10.1,16.2
2024-01-09 17:00,9.6,15.2
2024-01-09 18:00,10.5,15.7
2024-01-09 19:00,11.3,14.5
2024-01-09 20:00,10.3,16.2
2024-01-09 21:00,10.3,17.1
2024-01-09 22:00,11.0,15.9
2024-01-09 23:00,10.5,15.9
2024-01-10 00:00,11.5,15.7
2024-01-10 01:00,11.5,15.0
2024-01-10 02:00,10.8,15.0
2024-01-10 03:00,11.5,15.0
2024-01-10 04:00,12.0,16.4
2024-01-10 05:00,11.5,14.1
2024-01-10 06:00,11.3,15.5
2024-01-10 07:00,12.0,15.9
2024-01-10 08:00,11.3,14.5
2024-01-10 09:00,10.8,15.0
2024-01-10 10:00,11.5,15.9
2024-01-10 11:00,11.3,16.2
2024-01-10 12:00,11.5,14.3
2024-01-10 13:00,10.8,13.4
2024-01-10 14:00,11.3,14.5
2024-01-10 15:00,11.7,16.2
2024-01-10 16:00,11.0,12.9
2024-01-10 17:00,10.5,13.8
2024-01-10 18:00,10.5,15.2
2024-01-10 19:00,10.1,14.5
2024-01-10 20:00,11.0,13.8
2024-01-10 21:00,10.5,16.4
2024-01-10 22:00,10.5,15.0
2024-01-10 23:00,10.3,15.0
2024-01-11 00:00,10.1,13.6
2024-01-11 01:00,9.8,13.8
2024-01-11 02:00,10.1,14.3
2024-01-11 03:00,10.1,13.8
2024-01-11 04:00,10.1,14.8
2024-01-11 05:00,10.3,14.1
2024-01-11 06:00,8.9,14.5
2024-01-11 07:00,8.9,13.8
2024-01-11 08:00,8.2,12.2
2024-01-11 09:00,8.2,14.1
2024-01-11 10:00,7.5,14.5
2024-01-11 11:00,7.5,12.7
2024-01-11 12:00,7.7,14.5
2024-01-11 13:00,8.0,15.7
2024-01-11 14:00,7.7,12.9
2024-01-11 15:00,7.7,14.1
2024-01-11 16:00,8.4,15.7
2024-01-11 17:00,8.7,14.5
2024-01-11 18:00,8.4,13.4
2024-01-11 19:00,8.9,15.0
2024-01-11 20:00,9.8,14.3
2024-01-11 21:00,8.7,13.1
2024-01-11 22:00,8.9,13.8
2024-01-11 23:00,8.7,13.4
2024-01-12 00:00,9.1,15.0
2024-01-12 01:00,9.6,14.5
2024-01-12 02:00,8.0,15.9
2024-01-12 03:00,8.7,14.5
2024-01-12 04:00,8.7,15.0
2024-01-12 05:00,8.0,14.5
