SDATA,TZ,TP
2024-02-01 00:00,4.9,7.3
2024-02-01 01:00,5.2,6.8
2024-02-01 02:00,5.2,12.9
2024-02-01 03:00,4.9,6.8
2024-02-01 04:00,4.9,6.8
2024-02-01 05:00,4.9,5.4
2024-02-01 06:00,4.9,11.7
2024-02-01 07:00,4.9,6.8
2024-02-01 08:00,,5.4
2024-02-01 09:00,,5.4
2024-02-01 10:00,5.2,11.5
2024-02-01 11:00,5.2,5.2
2024-02-01 12:00,4.9,11.3
2024-02-01 13:00,5.2,10.8
2024-02-01 14:00,5.2,7.5
2024-02-01 15:00,5.2,7.0
2024-02-01 16:00,5.2,10.3
2024-02-01 17:00,5.4,12.4
2024-02-01 18:00,5.6,12.4
2024-02-01 19:00,5.4,7.5
2024-02-01 20:00,5.9,11.7
2024-02-01 21:00,5.9,8.0
2024-02-01 22:00,,12.0
2024-02-01 23:00,6.3,12.0
2024-02-02 00:00,5.9,11.5
2024-02-02 01:00,6.1,11.5
2024-02-02 02:00,6.1,9.8
2024-02-02 03:00,5.9,11.5
2024-02-02 04:00,5.9,12.4
2024-02-02 05:00,5.6,11.5
2024-02-02 06:00,5.9,11.3
2024-02-02 07:00,5.9,12.9
2024-02-02 08:00,5.4,12.4
2024-02-02 09:00,5.6,12.0
2024-02-02 10:00,5.2,5.2
2024-02-02 11:00,5.6,11.5
2024-02-02 12:00,5.2,10.8
2024-02-02 13:00,4.9,11.3
2024-02-02 14:00,5.4,11.5
2024-02-02 15:00,,13.1
2024-02-02 16:00,5.6,11.5
2024-02-02 17:00,5.4,12.0
2024-02-02 18:00,5.2,11.0
2024-02-02 19:00,5.2,12.4
2024-02-02 20:00,5.2,12.9
2024-02-02 21:00,5.4,11.0
2024-02-02 22:00,5.6,12.9
2024-02-02 23:00,5.4,10.5
2024-02-03 00:00,5.4,12.9
2024-02-03 01:00,4.9,12.0
2024-02-03 02:00,5.2,6.6
2024-02-03 03:00,5.2,7.3
2024-02-03 04:00,5.2,7.3
2024-02-03 05:00,5.6,8.0
2024-02-03 06:00,5.6,6.6
2024-02-03 07:00,6.1,8.4
2024-02-03 08:00,5.9,8.4
2024-02-03 09:00,5.9,7.7
2024-02-03 10:00,5.9,8.0
2024-02-03 11:00,5.9,8.2
2024-02-03 12:00,5.9,8.0
2024-02-03 13:00,5.6,7.5
2024-02-03 14:00,5.9,8.2
2024-02-03 15:00,5.6,7.5
2024-02-03 16:00,5.6,7.7
2024-02-03 17:00,5.6,8.2
2024-02-03 18:00,5.6,8.4
2024-02-03 19:00,5.9,8.4
2024-02-03 20:00,5.6,7.5
2024-02-03 21:00,5.9,7.7
2024-02-03 22:00,5.6,8.0
2024-02-03 23:00,5.6,8.0
2024-02-04 00:00,5.6,7.3
2024-02-04 01:00,5.6,7.3
2024-02-04 02:00,5.4,7.0
