Null value: -9999.9	
Date (GMT)	Sea Temperature(ºC)
2013 04 07 18	16.014
2013 04 07 19	15.965
2013 04 07 20	15.903
2013 04 07 21	15.82
2013 04 07 22	15.733
2013 04 07 23	15.658
2013 04 08 00	15.604
2013 04 08 01	15.584
2013 04 08 02	15.573
2013 04 08 03	15.532
2013 04 08 04	15.446
2013 04 08 05	15.325
2013 04 08 06	15.226
2013 04 08 07	15.207
2013 04 08 08	15.209
2013 04 08 09	15.346
2013 04 08 10	15.578
2013 04 08 11	15.797
2013 04 08 12	15.95
2013 04 08 13	16.033
2013 04 08 14	16.094
2013 04 08 15	16.08
2013 04 08 16	16.069
2013 04 08 17	16.08
2013 04 08 18	16.076
2013 04 08 19	16.055
2013 04 08 20	16.016
2013 04 08 21	15.944
2013 04 08 22	15.852
2013 04 08 23	15.751
2013 04 09 00	15.659
2013 04 09 01	15.575
2013 04 09 02	15.5
2013 04 09 03	15.44
2013 04 09 04	15.386
2013 04 09 05	15.336
2013 04 09 06	15.325
2013 04 09 07	15.352
2013 04 09 08	15.378
2013 04 09 09	15.507
2013 04 09 10	15.689
2013 04 09 11	15.784
2013 04 09 12	15.852
2013 04 09 13	15.935
2013 04 09 14	16.01
2013 04 09 15	16.035
2013 04 09 16	16.024
2013 04 09 17	16.011
2013 04 09 18	15.975
2013 04 09 19	15.937
2013 04 09 20	15.903
2013 04 09 21	15.869
2013 04 09 22	15.841
2013 04 09 23	15.815
2013 04 10 00	15.701
2013 04 10 01	15.691
2013 04 10 02	15.682
2013 04 10 03	15.676
2013 04 10 04	15.67
2013 04 10 05	15.691
2013 04 10 06	15.72
2013 04 10 07	15.749
2013 04 10 08	15.77
2013 04 10 09	15.842
2013 04 10 10	15.943
2013 04 10 11	16.024
2013 04 10 12	16.121
2013 04 10 13	16.215
2013 04 10 14	16.285
2013 04 10 15	16.296
2013 04 10 16	16.289
2013 04 10 17	16.295
2013 04 10 18	16.266
2013 04 10 19	16.215
2013 04 10 20	16.177
2013 04 10 21	16.161
2013 04 10 22	16.149
2013 04 10 23	16.142
2013 04 11 00	16.134
2013 04 11 01	16.124
2013 04 11 02	16.108
2013 04 11 03	16.09
2013 04 11 04	16.065
2013 04 11 05	16.036
2013 04 11 06	16.044
2013 04 11 07	16.052
2013 04 11 08	16.049
2013 04 11 09	16.078
2013 04 11 10	16.128
2013 04 11 11	16.185
2013 04 11 12	16.261
2013 04 11 13	16.337
2013 04 11 14	16.399
2013 04 11 15	16.423
2013 04 11 16	16.435
2013 04 11 17	16.451
2013 04 11 18	16.441
2013 04 11 19	16.414
2013 04 11 20	16.391
2013 04 11 21	16.357
2013 04 11 22	16.317
2013 04 11 23	16.279
2013 04 12 00	16.239
2013 04 12 01	16.197
2013 04 12 02	16.16
2013 04 12 03	16.122
2013 04 12 04	16.087
2013 04 12 05	16.053
2013 04 12 06	16.052
2013 04 12 07	16.069
2013 04 12 08	16.085
2013 04 12 09	16.183
2013 04 12 10	16.36
2013 04 12 11	16.594
2013 04 12 12	16.864
2013 04 12 13	17.104
2013 04 12 14	17.066
2013 04 12 15	16.948
2013 04 12 16	16.862
2013 04 12 17	16.823
2013 04 12 18	16.753
2013 04 12 19	16.693
2013 04 12 20	16.644
2013 04 12 21	16.591
2013 04 12 22	16.538
2013 04 12 23	16.495
2013 04 13 00	16.45
2013 04 13 01	16.417
2013 04 13 02	16.385
2013 04 13 03	16.379
2013 04 13 04	16.386
2013 04 13 05	16.39
2013 04 13 06	16.445
2013 04 13 07	16.538
2013 04 13 08	16.633
2013 04 13 09	16.752
2013 04 13 10	16.899
2013 04 13 11	17.069
2013 04 13 12	17.177
2013 04 13 13	17.242
2013 04 13 14	17.318
2013 04 13 15	17.291
2013 04 13 16	17.198
2013 04 13 17	17.123
2013 04 13 18	17.058
2013 04 13 19	16.999
2013 04 13 20	16.932
2013 04 13 21	16.871
2013 04 13 22	16.816
2013 04 13 23	16.795
2013 04 14 00	16.849
2013 04 14 01	16.866
2013 04 14 02	16.869
2013 04 14 03	16.868
2013 04 14 04	16.842
2013 04 14 05	16.79
2013 04 14 06	16.773
2013 04 14 07	16.787
2013 04 14 08	16.8
2013 04 14 09	16.928
2013 04 14 10	17.173
2013 04 14 11	17.437
2013 04 14 12	17.624
2013 04 14 13	17.878
2013 04 14 14	18.136
2013 04 14 15	18.201
2013 04 14 16	18.115
2013 04 14 17	17.979
2013 04 14 18	17.885
2013 04 14 19	17.846
2013 04 14 20	17.771
2013 04 14 21	17.629
2013 04 14 22	17.519
2013 04 14 23	17.452
2013 04 15 00	17.398
2013 04 15 01	17.35
2013 04 15 02	17.292
2013 04 15 03	17.233
2013 04 15 04	17.177
2013 04 15 05	17.128
2013 04 15 06	17.125
2013 04 15 07	17.148
2013 04 15 08	17.173
2013 04 15 09	17.311
2013 04 15 10	17.593
2013 04 15 11	17.905
2013 04 15 12	18.219
2013 04 15 13	18.484
2013 04 15 14	18.552
2013 04 15 15	18.42
2013 04 15 16	18.406
2013 04 15 17	18.369
2013 04 15 18	18.231
2013 04 15 19	18.079
2013 04 15 20	17.996
2013 04 15 21	17.984
2013 04 15 22	17.997
2013 04 15 23	17.994
2013 04 16 00	17.946
2013 04 16 01	17.88
2013 04 16 02	17.827
2013 04 16 03	17.792
2013 04 16 04	17.771
2013 04 16 05	17.73
2013 04 16 06	17.697
2013 04 16 07	17.682
2013 04 16 08	17.667
2013 04 16 09	17.729
2013 04 16 10	17.868
2013 04 16 11	18.113
2013 04 16 12	18.448
2013 04 16 13	18.829
2013 04 16 14	19.12
2013 04 16 15	19.14
2013 04 16 16	18.979
2013 04 16 17	18.733
2013 04 16 18	18.494
2013 04 16 19	18.383
2013 04 16 20	18.343
2013 04 16 21	18.341
2013 04 16 22	18.351
2013 04 16 23	18.349
2013 04 17 00	18.149
2013 04 17 01	18.047
2013 04 17 02	18.016
2013 04 17 03	18.062
2013 04 17 04	18.164
2013 04 17 05	18.217
2013 04 17 06	18.24
2013 04 17 07	18.249
2013 04 17 08	18.212
2013 04 17 09	18.3
2013 04 17 10	18.536
2013 04 17 11	18.733
2013 04 17 12	18.799
2013 04 17 13	18.791
2013 04 17 14	18.743
2013 04 17 15	18.707
2013 04 17 16	18.652
2013 04 17 17	18.614
2013 04 17 18	18.542
2013 04 17 19	18.458
2013 04 17 20	18.412
2013 04 17 21	18.397
2013 04 17 22	18.385
2013 04 17 23	18.37
2013 04 18 00	18.347
2013 04 18 01	18.321
2013 04 18 02	18.294
2013 04 18 03	18.263
2013 04 18 04	18.226
2013 04 18 05	18.186
2013 04 18 06	18.179
2013 04 18 07	18.197
2013 04 18 08	18.214
2013 04 18 09	18.287
2013 04 18 10	18.409
2013 04 18 11	18.571
2013 04 18 12	18.841
2013 04 18 13	19.156
2013 04 18 14	19.384
2013 04 18 15	19.26
2013 04 18 16	19.271
2013 04 18 17	19.358
2013 04 18 18	19.358
2013 04 18 19	19.286
2013 04 18 20	19.181
2013 04 18 21	19.008
2013 04 18 22	18.86
2013 04 18 23	18.719
2013 04 19 00	18.6
2013 04 19 01	18.488
2013 04 19 02	18.373
2013 04 19 03	18.282
2013 04 19 04	18.2
2013 04 19 05	18.101
2013 04 19 06	18.046
2013 04 19 07	18.034
2013 04 19 08	18.052
2013 04 19 09	18.085
2013 04 19 10	18.153
2013 04 19 11	18.262
2013 04 19 12	18.355
2013 04 19 13	18.451
2013 04 19 14	18.596
2013 04 19 15	18.631
2013 04 19 16	18.555
2013 04 19 17	18.476
2013 04 19 18	18.435
2013 04 19 19	18.361
2013 04 19 20	18.27
2013 04 19 21	18.193
2013 04 19 22	18.115
2013 04 19 23	18.017
2013 04 20 00	17.923
2013 04 20 01	17.843
2013 04 20 02	17.761
2013 04 20 03	17.683
2013 04 20 04	17.605
2013 04 20 05	17.541
2013 04 20 06	17.551
2013 04 20 07	17.637
2013 04 20 08	17.768
2013 04 20 09	17.955
2013 04 20 10	18.147
2013 04 20 11	18.313
2013 04 20 12	18.484
2013 04 20 13	18.675
2013 04 20 14	18.869
2013 04 20 15	18.899
2013 04 20 16	18.787
2013 04 20 17	18.639
2013 04 20 18	18.446
2013 04 20 19	18.291
2013 04 20 20	18.22
2013 04 20 21	18.167
2013 04 20 22	18.117
2013 04 20 23	18.078
2013 04 21 00	18.05
2013 04 21 01	18.032
2013 04 21 02	18.021
2013 04 21 03	18.007
2013 04 21 04	17.967
2013 04 21 05	17.899
2013 04 21 06	17.862
2013 04 21 07	17.849
2013 04 21 08	17.842
2013 04 21 09	17.918
2013 04 21 10	18.044
2013 04 21 11	18.175
2013 04 21 12	18.322
2013 04 21 13	18.45
2013 04 21 14	18.492
2013 04 21 15	18.464
2013 04 21 16	18.437
2013 04 21 17	18.428
2013 04 21 18	18.389
2013 04 21 19	18.332
2013 04 21 20	18.264
2013 04 21 21	18.184
2013 04 21 22	18.098
2013 04 21 23	18.026
2013 04 22 00	17.973
2013 04 22 01	17.953
2013 04 22 02	17.954
2013 04 22 03	17.972
2013 04 22 04	17.994
2013 04 22 05	18.01
2013 04 22 06	18.044
2013 04 22 07	18.084
2013 04 22 08	18.122
2013 04 22 09	18.219
2013 04 22 10	18.41
2013 04 22 11	18.675
2013 04 22 12	18.87
2013 04 22 13	18.943
2013 04 22 14	19.036
2013 04 22 15	19.002
2013 04 22 16	18.978
2013 04 22 17	18.955
2013 04 22 18	18.877
2013 04 22 19	18.766
2013 04 22 20	18.659
2013 04 22 21	18.559
2013 04 22 22	18.485
2013 04 22 23	18.433
2013 04 23 00	18.412
2013 04 23 01	18.379
2013 04 23 02	18.32
2013 04 23 03	18.241
2013 04 23 04	18.208
2013 04 23 05	18.229
2013 04 23 06	18.366
2013 04 23 07	18.58
2013 04 23 08	18.73
2013 04 23 09	18.818
2013 04 23 10	18.876
2013 04 23 11	18.929
2013 04 23 12	18.995
2013 04 23 13	19.061
2013 04 23 14	19.12
2013 04 23 15	19.14
2013 04 23 16	19.147
2013 04 23 17	19.151
2013 04 23 18	19.125
2013 04 23 19	19.105
2013 04 23 20	19.104
2013 04 23 21	19.09
2013 04 23 22	19.051
2013 04 23 23	18.993
2013 04 24 00	18.912
2013 04 24 01	18.818
2013 04 24 02	18.727
2013 04 24 03	18.65
2013 04 24 04	18.593
2013 04 24 05	18.563
2013 04 24 06	18.575
2013 04 24 07	18.607
2013 04 24 08	18.617
2013 04 24 09	18.65
2013 04 24 10	18.697
2013 04 24 11	18.751
2013 04 24 12	18.826
2013 04 24 13	18.928
2013 04 24 14	19.062
2013 04 24 15	19.136
2013 04 24 16	19.11
2013 04 24 17	19.071
2013 04 24 18	19.023
2013 04 24 19	18.977
2013 04 24 20	18.932
2013 04 24 21	18.883
2013 04 24 22	18.832
2013 04 24 23	18.786
2013 04 25 00	18.754
2013 04 25 01	18.742
2013 04 25 02	18.745
2013 04 25 03	18.758
2013 04 25 04	18.775
2013 04 25 05	18.785
2013 04 25 06	18.819
2013 04 25 07	18.846
2013 04 25 08	18.854
2013 04 25 09	18.926
2013 04 25 10	19.102
2013 04 25 11	19.323
2013 04 25 12	19.538
2013 04 25 13	19.616
2013 04 25 14	19.517
2013 04 25 15	19.414
2013 04 25 16	19.377
2013 04 25 17	19.373
2013 04 25 18	19.356
2013 04 25 19	19.35
2013 04 25 20	19.37
2013 04 25 21	19.383
2013 04 25 22	19.367
2013 04 25 23	19.324
2013 04 26 00	19.235
2013 04 26 01	19.159
2013 04 26 02	19.101
2013 04 26 03	19.052
2013 04 26 04	19.008
2013 04 26 05	18.978
2013 04 26 06	18.999
2013 04 26 07	19.04
2013 04 26 08	19.077
2013 04 26 09	19.191
2013 04 26 10	19.412
2013 04 26 11	19.606
2013 04 26 12	19.588
2013 04 26 13	19.555
2013 04 26 14	19.465
2013 04 26 15	19.345
2013 04 26 16	19.306
2013 04 26 17	19.32
2013 04 26 18	19.312
2013 04 26 19	19.306
2013 04 26 20	19.321
2013 04 26 21	19.351
2013 04 26 22	19.386
2013 04 26 23	19.417
2013 04 27 00	19.443
2013 04 27 01	19.451
2013 04 27 02	19.442
2013 04 27 03	19.417
2013 04 27 04	19.378
2013 04 27 05	19.335
2013 04 27 06	19.323
2013 04 27 07	19.331
2013 04 27 08	19.335
2013 04 27 09	19.418
2013 04 27 10	19.584
2013 04 27 11	19.798
2013 04 27 12	20.013
2013 04 27 13	20.097
2013 04 27 14	19.976
2013 04 27 15	19.891
2013 04 27 16	19.878
2013 04 27 17	19.903
2013 04 27 18	19.848
2013 04 27 19	19.728
2013 04 27 20	19.663
2013 04 27 21	19.639
2013 04 27 22	19.618
2013 04 27 23	19.564
2013 04 28 00	19.474
2013 04 28 01	19.386
2013 04 28 02	19.3
2013 04 28 03	19.231
2013 04 28 04	19.164
2013 04 28 05	19.09
2013 04 28 06	19.038
2013 04 28 07	19.016
2013 04 28 08	19.004
2013 04 28 09	19.003
2013 04 28 10	19.008
2013 04 28 11	19.018
2013 04 28 12	19.011
2013 04 28 13	18.993
2013 04 28 14	18.975
2013 04 28 15	18.933
2013 04 28 16	18.885
2013 04 28 17	18.842
2013 04 28 18	18.803
2013 04 28 19	18.77
2013 04 28 20	18.742
2013 04 28 21	18.715
2013 04 28 22	18.687
2013 04 28 23	18.66
2013 04 29 00	18.628
2013 04 29 01	18.593
2013 04 29 02	18.572
2013 04 29 03	18.538
2013 04 29 04	18.496
2013 04 29 05	18.452
2013 04 29 06	18.423
2013 04 29 07	18.4
2013 04 29 08	18.379
2013 04 29 09	18.393
2013 04 29 10	18.417
2013 04 29 11	18.441
2013 04 29 12	18.466
2013 04 29 13	18.483
2013 04 29 14	18.503
2013 04 29 15	18.499
2013 04 29 16	18.489
2013 04 29 17	18.489
2013 04 29 18	18.462
2013 04 29 19	18.428
2013 04 29 20	18.399
2013 04 29 21	18.371
2013 04 29 22	18.347
2013 04 29 23	18.329
2013 04 30 00	18.3
2013 04 30 01	18.265
2013 04 30 02	18.23
2013 04 30 03	18.19
2013 04 30 04	18.153
2013 04 30 05	18.116
2013 04 30 06	18.101
2013 04 30 07	18.092
2013 04 30 08	18.086
2013 04 30 09	18.124
2013 04 30 10	18.19
2013 04 30 11	18.234
2013 04 30 12	18.224
2013 04 30 13	18.193
2013 04 30 14	18.161
2013 04 30 15	18.12
2013 04 30 16	18.091
2013 04 30 17	18.073
2013 04 30 18	18.048
2013 04 30 19	18.023
2013 04 30 20	18.002
2013 04 30 21	17.981
2013 04 30 22	17.968
2013 04 30 23	17.95
2013 05 01 00	17.95
2013 05 01 01	17.925
2013 05 01 02	17.903
2013 05 01 03	17.904
2013 05 01 04	17.906
2013 05 01 05	17.909
2013 05 01 06	17.997
2013 05 01 07	18.139
2013 05 01 08	18.259
2013 05 01 09	18.353
2013 05 01 10	18.461
2013 05 01 11	18.572
2013 05 01 12	18.599
2013 05 01 13	18.583
2013 05 01 14	18.544
2013 05 01 15	18.428
2013 05 01 16	18.292
2013 05 01 17	18.183
2013 05 01 18	18.098
2013 05 01 19	18.035
2013 05 01 20	17.995
2013 05 01 21	17.968
2013 05 01 22	17.95
2013 05 01 23	17.934
2013 05 02 00	17.92
2013 05 02 01	17.903
2013 05 02 02	17.883
2013 05 02 03	17.86
2013 05 02 04	17.833
2013 05 02 05	17.809
2013 05 02 06	17.805
2013 05 02 07	17.808
2013 05 02 08	17.809
2013 05 02 09	17.857
2013 05 02 10	17.947
2013 05 02 11	18.052
2013 05 02 12	18.184
2013 05 02 13	18.334
2013 05 02 14	18.428
2013 05 02 15	18.41
2013 05 02 16	18.357
2013 05 02 17	18.311
2013 05 02 18	18.23
2013 05 02 19	18.158
2013 05 02 20	18.116
2013 05 02 21	18.084
2013 05 02 22	18.062
2013 05 02 23	18.037
2013 05 03 00	18.003
2013 05 03 01	17.976
2013 05 03 02	17.955
2013 05 03 03	17.969
2013 05 03 04	17.985
2013 05 03 05	17.996
2013 05 03 06	18.069
2013 05 03 07	18.18
2013 05 03 08	18.296
2013 05 03 09	18.423
2013 05 03 10	18.58
2013 05 03 11	18.717
2013 05 03 12	18.746
2013 05 03 13	18.757
2013 05 03 14	18.763
2013 05 03 15	18.622
2013 05 03 16	18.376
2013 05 03 17	18.22
2013 05 03 18	18.165
2013 05 03 19	18.153
2013 05 03 20	18.157
2013 05 03 21	18.164
2013 05 03 22	18.173
2013 05 03 23	18.18
2013 05 04 00	18.181
2013 05 04 01	18.173
2013 05 04 02	18.158
2013 05 04 03	18.129
2013 05 04 04	18.091
2013 05 04 05	18.049
2013 05 04 06	18.041
2013 05 04 07	18.043
2013 05 04 08	18.057
2013 05 04 09	18.187
2013 05 04 10	18.396
2013 05 04 11	18.578
2013 05 04 12	18.775
2013 05 04 13	18.963
2013 05 04 14	19.086
2013 05 04 15	19.073
2013 05 04 16	18.995
2013 05 04 17	18.885
2013 05 04 18	18.764
2013 05 04 19	18.661
2013 05 04 20	18.592
2013 05 04 21	18.537
2013 05 04 22	18.496
2013 05 04 23	18.467
2013 05 05 00	18.444
2013 05 05 01	18.426
2013 05 05 02	18.412
2013 05 05 03	18.403
2013 05 05 04	18.395
2013 05 05 05	18.388
2013 05 05 06	18.411
2013 05 05 07	18.473
2013 05 05 08	18.536
2013 05 05 09	18.713
2013 05 05 10	18.986
2013 05 05 11	19.221
2013 05 05 12	19.356
2013 05 05 13	19.367
2013 05 05 14	19.435
2013 05 05 15	19.408
2013 05 05 16	19.318
2013 05 05 17	19.248
2013 05 05 18	19.138
2013 05 05 19	19.049
2013 05 05 20	18.991
2013 05 05 21	18.943
2013 05 05 22	18.904
2013 05 05 23	18.872
2013 05 06 00	18.829
2013 05 06 01	18.779
2013 05 06 02	18.737
2013 05 06 03	18.699
2013 05 06 04	18.666
2013 05 06 05	18.634
2013 05 06 06	18.647
2013 05 06 07	18.668
2013 05 06 08	18.683
2013 05 06 09	18.785
2013 05 06 10	19.005
2013 05 06 11	19.263
2013 05 06 12	19.487
2013 05 06 13	19.593
2013 05 06 14	19.528
2013 05 06 15	19.448
2013 05 06 16	19.339
2013 05 06 17	19.254
2013 05 06 18	19.14
2013 05 06 19	19.06
2013 05 06 20	19.023
2013 05 06 21	18.998
2013 05 06 22	18.982
2013 05 06 23	18.968
2013 05 07 00	18.951
2013 05 07 01	18.928
2013 05 07 02	18.905
2013 05 07 03	18.883
2013 05 07 04	18.864
2013 05 07 05	18.848
2013 05 07 06	18.862
2013 05 07 07	18.883
2013 05 07 08	18.898
2013 05 07 09	19.015
2013 05 07 10	19.244
2013 05 07 11	19.487
2013 05 07 12	19.7
2013 05 07 13	19.829
2013 05 07 14	19.854
2013 05 07 15	19.691
2013 05 07 16	19.56
2013 05 07 17	19.537
2013 05 07 18	19.48
2013 05 07 19	19.414
2013 05 07 20	19.37
2013 05 07 21	19.34
2013 05 07 22	19.317
2013 05 07 23	19.299
2013 05 08 00	19.282
2013 05 08 01	19.266
2013 05 08 02	19.251
2013 05 08 03	19.263
2013 05 08 04	19.28
2013 05 08 05	19.296
2013 05 08 06	19.366
2013 05 08 07	19.465
2013 05 08 08	19.565
2013 05 08 09	19.7
2013 05 08 10	19.918
2013 05 08 11	20.052
2013 05 08 12	19.996
2013 05 08 13	19.929
2013 05 08 14	19.869
2013 05 08 15	19.785
2013 05 08 16	19.683
2013 05 08 17	19.62
2013 05 08 18	19.582
2013 05 08 19	19.564
2013 05 08 20	19.56
2013 05 08 21	19.557
2013 05 08 22	19.548
2013 05 08 23	19.536
2013 05 09 00	19.524
2013 05 09 01	19.509
2013 05 09 02	19.492
2013 05 09 03	19.476
2013 05 09 04	19.452
2013 05 09 05	19.427
2013 05 09 06	19.439
2013 05 09 07	19.457
2013 05 09 08	19.477
2013 05 09 09	19.586
2013 05 09 10	19.76
2013 05 09 11	19.828
2013 05 09 12	19.821
2013 05 09 13	19.819
2013 05 09 14	19.794
2013 05 09 15	19.756
2013 05 09 16	19.735
2013 05 09 17	19.723
2013 05 09 18	19.685
2013 05 09 19	19.65
2013 05 09 20	19.626
2013 05 09 21	19.598
2013 05 09 22	19.572
2013 05 09 23	19.547
2013 05 10 00	19.521
2013 05 10 01	19.495
2013 05 10 02	19.468
2013 05 10 03	19.442
2013 05 10 04	19.415
2013 05 10 05	19.392
2013 05 10 06	19.398
2013 05 10 07	19.412
2013 05 10 08	19.429
2013 05 10 09	19.53
2013 05 10 10	19.761
2013 05 10 11	20.06
2013 05 10 12	20.296
2013 05 10 13	20.251
2013 05 10 14	20.202
2013 05 10 15	20.093
2013 05 10 16	20.033
2013 05 10 17	20.007
2013 05 10 18	19.956
2013 05 10 19	19.918
2013 05 10 20	19.887
2013 05 10 21	19.849
2013 05 10 22	19.803
2013 05 10 23	19.764
2013 05 11 00	19.722
2013 05 11 01	19.677
2013 05 11 02	19.629
2013 05 11 03	19.581
2013 05 11 04	19.537
2013 05 11 05	19.495
2013 05 11 06	19.476
2013 05 11 07	19.479
2013 05 11 08	19.516
2013 05 11 09	19.567
2013 05 11 10	19.642
2013 05 11 11	19.781
2013 05 11 12	20.067
2013 05 11 13	20.353
2013 05 11 14	20.305
2013 05 11 15	20.173
2013 05 11 16	20.148
2013 05 11 17	20.155
2013 05 11 18	20.125
2013 05 11 19	20.074
2013 05 11 20	20.01
2013 05 11 21	19.912
2013 05 11 22	19.84
2013 05 11 23	19.784
2013 05 12 00	19.726
2013 05 12 01	19.671
2013 05 12 02	19.621
2013 05 12 03	19.571
2013 05 12 04	19.523
2013 05 12 05	19.477
2013 05 12 06	19.46
2013 05 12 07	19.459
2013 05 12 08	19.47
2013 05 12 09	19.568
2013 05 12 10	19.788
2013 05 12 11	20.045
2013 05 12 12	20.14
2013 05 12 13	20.191
2013 05 12 14	20.231
2013 05 12 15	20.159
2013 05 12 16	20.099
2013 05 12 17	20.062
2013 05 12 18	19.993
2013 05 12 19	19.912
2013 05 12 20	19.863
2013 05 12 21	19.823
2013 05 12 22	19.79
2013 05 12 23	19.76
2013 05 13 00	19.736
2013 05 13 01	19.713
2013 05 13 02	19.694
2013 05 13 03	19.676
2013 05 13 04	19.66
2013 05 13 05	19.642
2013 05 13 06	19.66
2013 05 13 07	19.682
2013 05 13 08	19.689
2013 05 13 09	19.764
2013 05 13 10	19.904
2013 05 13 11	20.075
2013 05 13 12	20.309
2013 05 13 13	20.579
2013 05 13 14	20.854
2013 05 13 15	21.007
2013 05 13 16	21.048
2013 05 13 17	21.043
2013 05 13 18	20.875
2013 05 13 19	20.585
2013 05 13 20	20.389
2013 05 13 21	20.238
2013 05 13 22	20.161
2013 05 13 23	20.096
2013 05 14 00	20.04
2013 05 14 01	19.995
2013 05 14 02	19.961
2013 05 14 03	19.929
2013 05 14 04	19.905
2013 05 14 05	19.883
2013 05 14 06	19.91
2013 05 14 07	19.975
2013 05 14 08	20.034
2013 05 14 09	20.195
2013 05 14 10	20.431
2013 05 14 11	20.543
2013 05 14 12	20.589
2013 05 14 13	20.633
2013 05 14 14	20.619
2013 05 14 15	20.557
2013 05 14 16	20.521
2013 05 14 17	20.506
2013 05 14 18	20.463
2013 05 14 19	20.405
2013 05 14 20	20.36
2013 05 14 21	20.289
2013 05 14 22	20.229
2013 05 14 23	20.186
2013 05 15 00	18.381
2013 05 15 01	18.287
2013 05 15 02	18.258
2013 05 15 03	18.251
2013 05 15 04	18.239
2013 05 15 05	18.216
2013 05 15 06	18.209
2013 05 15 07	18.196
2013 05 15 08	18.175
2013 05 15 09	18.179
2013 05 15 10	18.193
2013 05 15 11	18.208
2013 05 15 12	18.245
2013 05 15 13	18.302
2013 05 15 14	18.382
2013 05 15 15	18.447
2013 05 15 16	18.509
2013 05 15 17	18.572
2013 05 15 18	18.593
2013 05 15 19	18.589
2013 05 15 20	18.568
2013 05 15 21	18.527
2013 05 15 22	18.478
2013 05 15 23	18.436
2013 05 16 00	18.398
2013 05 16 01	18.347
2013 05 16 02	18.293
2013 05 16 03	18.239
2013 05 16 04	18.182
2013 05 16 05	18.124
2013 05 16 06	18.078
2013 05 16 07	18.044
2013 05 16 08	18.015
2013 05 16 09	18.0
2013 05 16 10	18.001
2013 05 16 11	18.011
2013 05 16 12	18.044
2013 05 16 13	18.068
2013 05 16 14	18.066
2013 05 16 15	18.027
2013 05 16 16	17.968
2013 05 16 17	17.902
2013 05 16 18	17.811
2013 05 16 19	17.714
2013 05 16 20	17.625
2013 05 16 21	17.543
2013 05 16 22	17.462
2013 05 16 23	17.379
2013 05 17 00	17.295
2013 05 17 01	17.218
2013 05 17 02	17.153
2013 05 17 03	17.115
2013 05 17 04	17.093
2013 05 17 05	17.075
2013 05 17 06	17.089
2013 05 17 07	17.102
2013 05 17 08	17.099
2013 05 17 09	17.076
2013 05 17 10	17.039
2013 05 17 11	16.994
2013 05 17 12	16.93
2013 05 17 13	16.858
2013 05 17 14	16.793
2013 05 17 15	16.722
2013 05 17 16	16.655
2013 05 17 17	16.6
2013 05 17 18	16.547
2013 05 17 19	16.502
2013 05 17 20	16.466
2013 05 17 21	16.436
2013 05 17 22	16.411
2013 05 17 23	16.388
2013 05 18 00	16.369
2013 05 18 01	16.35
2013 05 18 02	16.33
2013 05 18 03	16.306
2013 05 18 04	16.277
2013 05 18 05	16.244
2013 05 18 06	16.224
2013 05 18 07	16.202
2013 05 18 08	16.174
2013 05 18 09	16.154
2013 05 18 10	16.14
2013 05 18 11	16.127
2013 05 18 12	16.133
2013 05 18 13	16.134
2013 05 18 14	16.124
2013 05 18 15	16.094
2013 05 18 16	16.057
2013 05 18 17	16.022
2013 05 18 18	15.967
2013 05 18 19	15.92
2013 05 18 20	15.881
2013 05 18 21	15.852
2013 05 18 22	15.828
2013 05 18 23	15.808
2013 05 19 00	15.789
2013 05 19 01	15.773
2013 05 19 02	15.757
2013 05 19 03	15.74
2013 05 19 04	15.724
2013 05 19 05	15.711
2013 05 19 06	15.725
2013 05 19 07	15.743
2013 05 19 08	15.765
2013 05 19 09	15.872
2013 05 19 10	16.002
2013 05 19 11	16.101
2013 05 19 12	16.17
2013 05 19 13	16.203
2013 05 19 14	16.194
2013 05 19 15	16.148
2013 05 19 16	16.107
2013 05 19 17	16.075
2013 05 19 18	16.029
2013 05 19 19	15.987
2013 05 19 20	15.954
2013 05 19 21	15.918
2013 05 19 22	15.878
2013 05 19 23	15.844
2013 05 20 00	15.811
2013 05 20 01	15.788
2013 05 20 02	15.772
2013 05 20 03	15.761
2013 05 20 04	15.754
2013 05 20 05	15.749
2013 05 20 06	15.773
2013 05 20 07	15.795
2013 05 20 08	15.817
2013 05 20 09	15.894
2013 05 20 10	16.035
2013 05 20 11	16.173
2013 05 20 12	16.274
2013 05 20 13	16.388
2013 05 20 14	16.447
2013 05 20 15	16.414
2013 05 20 16	16.372
2013 05 20 17	16.335
2013 05 20 18	16.254
2013 05 20 19	16.169
2013 05 20 20	16.102
2013 05 20 21	16.047
2013 05 20 22	16.006
2013 05 20 23	15.971
2013 05 21 00	15.942
2013 05 21 01	15.919
2013 05 21 02	15.901
2013 05 21 03	15.886
2013 05 21 04	15.872
2013 05 21 05	15.86
2013 05 21 06	15.866
2013 05 21 07	15.875
2013 05 21 08	15.883
2013 05 21 09	15.936
2013 05 21 10	16.067
2013 05 21 11	16.297
2013 05 21 12	16.497
2013 05 21 13	16.445
2013 05 21 14	16.363
2013 05 21 15	16.282
2013 05 21 16	16.261
2013 05 21 17	16.262
2013 05 21 18	16.233
2013 05 21 19	16.193
2013 05 21 20	16.16
2013 05 21 21	16.128
2013 05 21 22	16.102
2013 05 21 23	16.084
2013 05 22 00	16.073
2013 05 22 01	16.066
2013 05 22 02	16.059
2013 05 22 03	16.05
2013 05 22 04	16.039
2013 05 22 05	16.03
2013 05 22 06	16.044
2013 05 22 07	16.064
2013 05 22 08	16.083
2013 05 22 09	16.212
2013 05 22 10	16.443
2013 05 22 11	16.47
