Null value: -9999.9	
Date (GMT)	Sea Temperature(ºC)
2011 04 10 03	17.758
2011 04 10 04	17.742
2011 04 10 05	17.71
2011 04 10 06	17.683
2011 04 10 07	17.656
2011 04 10 08	17.627
2011 04 10 09	17.663
2011 04 10 10	17.733
2011 04 10 11	17.802
2011 04 10 12	17.989
2011 04 10 13	18.301
2011 04 10 14	18.607
2011 04 10 15	18.406
2011 04 10 16	18.281
2011 04 10 17	18.242
2011 04 10 18	18.205
2011 04 10 19	18.181
2011 04 10 20	18.17
2011 04 10 21	18.149
2011 04 10 22	18.112
2011 04 10 23	18.102
2011 04 11 00	18.107
2011 04 11 01	18.096
2011 04 11 02	18.08
2011 04 11 03	18.065
2011 04 11 04	18.04
2011 04 11 05	18.017
2011 04 11 06	18.008
2011 04 11 07	18.002
2011 04 11 08	17.995
2011 04 11 09	18.039
2011 04 11 10	18.106
2011 04 11 11	18.163
2011 04 11 12	18.343
2011 04 11 13	18.66
2011 04 11 14	18.962
2011 04 11 15	18.819
2011 04 11 16	18.718
2011 04 11 17	18.713
2011 04 11 18	18.67
2011 04 11 19	18.592
2011 04 11 20	18.506
2011 04 11 21	18.446
2011 04 11 22	18.407
2011 04 11 23	18.378
2011 04 12 00	18.351
2011 04 12 01	18.316
2011 04 12 02	18.288
2011 04 12 03	18.265
2011 04 12 04	18.246
2011 04 12 05	18.227
2011 04 12 06	18.236
2011 04 12 07	18.245
2011 04 12 08	18.244
2011 04 12 09	18.294
2011 04 12 10	18.362
2011 04 12 11	18.423
2011 04 12 12	18.528
2011 04 12 13	18.663
2011 04 12 14	18.781
2011 04 12 15	18.845
2011 04 12 16	18.869
2011 04 12 17	18.875
2011 04 12 18	18.727
2011 04 12 19	18.59
2011 04 12 20	18.509
2011 04 12 21	18.455
2011 04 12 22	18.421
2011 04 12 23	18.399
2011 04 13 00	18.381
2011 04 13 01	18.361
2011 04 13 02	18.341
2011 04 13 03	18.322
2011 04 13 04	18.298
2011 04 13 05	18.275
2011 04 13 06	18.272
2011 04 13 07	18.272
2011 04 13 08	18.266
2011 04 13 09	18.298
2011 04 13 10	18.344
2011 04 13 11	18.385
2011 04 13 12	18.496
2011 04 13 13	18.655
2011 04 13 14	18.808
2011 04 13 15	18.898
2011 04 13 16	18.946
2011 04 13 17	18.981
2011 04 13 18	18.928
2011 04 13 19	18.819
2011 04 13 20	18.722
2011 04 13 21	18.64
2011 04 13 22	18.582
2011 04 13 23	18.547
2011 04 14 00	18.526
2011 04 14 01	18.513
2011 04 14 02	18.501
2011 04 14 03	18.491
2011 04 14 04	18.477
2011 04 14 05	18.459
2011 04 14 06	18.462
2011 04 14 07	18.466
2011 04 14 08	18.461
2011 04 14 09	18.531
2011 04 14 10	18.648
2011 04 14 11	18.764
2011 04 14 12	18.926
2011 04 14 13	19.117
2011 04 14 14	19.295
2011 04 14 15	19.246
2011 04 14 16	19.138
2011 04 14 17	19.101
2011 04 14 18	19.041
2011 04 14 19	18.974
2011 04 14 20	18.93
2011 04 14 21	18.899
2011 04 14 22	18.876
2011 04 14 23	18.853
2011 04 15 00	18.83
2011 04 15 01	18.812
2011 04 15 02	18.79
2011 04 15 03	18.762
2011 04 15 04	18.733
2011 04 15 05	18.706
2011 04 15 06	18.711
2011 04 15 07	18.719
2011 04 15 08	18.731
2011 04 15 09	18.841
2011 04 15 10	19.004
2011 04 15 11	19.151
2011 04 15 12	19.178
2011 04 15 13	19.213
2011 04 15 14	19.279
2011 04 15 15	19.306
2011 04 15 16	19.312
2011 04 15 17	19.325
2011 04 15 18	19.299
2011 04 15 19	19.267
2011 04 15 20	19.242
2011 04 15 21	19.222
2011 04 15 22	19.192
2011 04 15 23	19.158
2011 04 16 00	19.117
2011 04 16 01	19.067
2011 04 16 02	19.018
2011 04 16 03	18.975
2011 04 16 04	18.93
2011 04 16 05	18.896
2011 04 16 06	18.891
2011 04 16 07	18.886
2011 04 16 08	18.894
2011 04 16 09	18.942
2011 04 16 10	18.996
2011 04 16 11	19.039
2011 04 16 12	19.101
2011 04 16 13	19.169
2011 04 16 14	19.229
2011 04 16 15	19.206
2011 04 16 16	19.151
2011 04 16 17	19.12
2011 04 16 18	19.073
2011 04 16 19	19.025
2011 04 16 20	19.0
2011 04 16 21	18.99
2011 04 16 22	18.976
2011 04 16 23	18.957
2011 04 17 00	18.925
2011 04 17 01	18.871
2011 04 17 02	18.798
2011 04 17 03	18.722
2011 04 17 04	18.647
2011 04 17 05	18.579
2011 04 17 06	18.538
2011 04 17 07	18.51
2011 04 17 08	18.497
2011 04 17 09	18.513
2011 04 17 10	18.532
2011 04 17 11	18.552
2011 04 17 12	18.594
2011 04 17 13	18.641
2011 04 17 14	18.681
2011 04 17 15	18.667
2011 04 17 16	18.623
2011 04 17 17	18.589
2011 04 17 18	18.54
2011 04 17 19	18.491
2011 04 17 20	18.452
2011 04 17 21	18.412
2011 04 17 22	18.366
2011 04 17 23	18.326
2011 04 18 00	18.293
2011 04 18 01	18.262
2011 04 18 02	18.241
2011 04 18 03	18.221
2011 04 18 04	18.2
2011 04 18 05	18.172
2011 04 18 06	18.151
2011 04 18 07	18.127
2011 04 18 08	18.102
2011 04 18 09	18.087
2011 04 18 10	18.07
2011 04 18 11	18.054
2011 04 18 12	18.074
2011 04 18 13	18.11
2011 04 18 14	18.147
2011 04 18 15	18.147
2011 04 18 16	18.132
2011 04 18 17	18.121
2011 04 18 18	18.095
2011 04 18 19	18.07
2011 04 18 20	18.049
2011 04 18 21	18.028
2011 04 18 22	18.008
2011 04 18 23	17.991
2011 04 19 00	17.98
2011 04 19 01	17.973
2011 04 19 02	17.966
2011 04 19 03	17.963
2011 04 19 04	17.963
2011 04 19 05	17.959
2011 04 19 06	17.96
2011 04 19 07	17.962
2011 04 19 08	17.962
2011 04 19 09	17.984
2011 04 19 10	18.009
2011 04 19 11	18.03
2011 04 19 12	18.053
2011 04 19 13	18.08
2011 04 19 14	18.106
2011 04 19 15	18.12
2011 04 19 16	18.13
2011 04 19 17	18.14
2011 04 19 18	18.129
2011 04 19 19	18.115
2011 04 19 20	18.108
2011 04 19 21	18.1
2011 04 19 22	18.099
2011 04 19 23	18.1
2011 04 20 00	18.102
2011 04 20 01	18.1
2011 04 20 02	18.092
2011 04 20 03	18.075
2011 04 20 04	18.06
2011 04 20 05	18.045
2011 04 20 06	18.049
2011 04 20 07	18.052
2011 04 20 08	18.053
2011 04 20 09	18.087
2011 04 20 10	18.133
2011 04 20 11	18.18
2011 04 20 12	18.242
2011 04 20 13	18.313
2011 04 20 14	18.379
2011 04 20 15	18.382
2011 04 20 16	18.359
2011 04 20 17	18.35
2011 04 20 18	18.33
2011 04 20 19	18.313
2011 04 20 20	18.296
2011 04 20 21	18.275
2011 04 20 22	18.262
2011 04 20 23	18.251
2011 04 21 00	18.248
2011 04 21 01	18.245
2011 04 21 02	18.23
2011 04 21 03	18.216
2011 04 21 04	18.194
2011 04 21 05	18.172
2011 04 21 06	18.159
2011 04 21 07	18.151
2011 04 21 08	18.145
2011 04 21 09	18.174
2011 04 21 10	18.214
2011 04 21 11	18.253
2011 04 21 12	18.271
2011 04 21 13	18.283
2011 04 21 14	18.306
2011 04 21 15	18.304
2011 04 21 16	18.292
2011 04 21 17	18.287
2011 04 21 18	18.273
2011 04 21 19	18.253
2011 04 21 20	18.236
2011 04 21 21	18.218
2011 04 21 22	18.213
2011 04 21 23	18.221
2011 04 22 00	18.238
2011 04 22 01	18.256
2011 04 22 02	18.275
2011 04 22 03	18.289
2011 04 22 04	18.299
2011 04 22 05	18.308
2011 04 22 06	18.32
2011 04 22 07	18.338
2011 04 22 08	18.35
2011 04 22 09	18.384
2011 04 22 10	18.413
2011 04 22 11	18.437
2011 04 22 12	18.448
2011 04 22 13	18.45
2011 04 22 14	18.454
2011 04 22 15	18.441
2011 04 22 16	18.431
2011 04 22 17	18.439
2011 04 22 18	18.463
2011 04 22 19	18.509
2011 04 22 20	18.564
2011 04 22 21	18.605
2011 04 22 22	18.637
2011 04 22 23	18.647
2011 04 23 00	18.638
2011 04 23 01	18.618
2011 04 23 02	18.596
2011 04 23 03	18.571
2011 04 23 04	18.548
2011 04 23 05	18.521
2011 04 23 06	18.519
2011 04 23 07	18.514
2011 04 23 08	18.502
2011 04 23 09	18.512
2011 04 23 10	18.529
2011 04 23 11	18.546
2011 04 23 12	18.569
2011 04 23 13	18.596
2011 04 23 14	18.626
2011 04 23 15	18.639
2011 04 23 16	18.652
2011 04 23 17	18.677
2011 04 23 18	18.676
2011 04 23 19	18.656
2011 04 23 20	18.627
2011 04 23 21	18.592
2011 04 23 22	18.552
2011 04 23 23	18.513
2011 04 24 00	18.467
2011 04 24 01	18.423
2011 04 24 02	18.385
2011 04 24 03	18.359
2011 04 24 04	18.337
2011 04 24 05	18.323
2011 04 24 06	18.326
2011 04 24 07	18.327
2011 04 24 08	18.323
2011 04 24 09	18.377
2011 04 24 10	18.459
2011 04 24 11	18.537
2011 04 24 12	18.712
2011 04 24 13	19.002
2011 04 24 14	19.296
2011 04 24 15	19.285
2011 04 24 16	19.135
2011 04 24 17	19.087
2011 04 24 18	18.957
2011 04 24 19	18.806
2011 04 24 20	18.712
2011 04 24 21	18.667
2011 04 24 22	18.658
2011 04 24 23	18.648
2011 04 25 00	18.626
2011 04 25 01	18.599
2011 04 25 02	18.571
2011 04 25 03	18.537
2011 04 25 04	18.507
2011 04 25 05	18.48
2011 04 25 06	18.488
2011 04 25 07	18.512
2011 04 25 08	18.534
2011 04 25 09	18.688
2011 04 25 10	18.961
2011 04 25 11	19.238
2011 04 25 12	19.256
2011 04 25 13	19.296
2011 04 25 14	19.393
2011 04 25 15	19.311
2011 04 25 16	19.133
2011 04 25 17	18.998
2011 04 25 18	18.859
2011 04 25 19	18.752
2011 04 25 20	18.689
2011 04 25 21	18.658
2011 04 25 22	18.652
2011 04 25 23	18.657
2011 04 26 00	18.661
2011 04 26 01	18.66
2011 04 26 02	18.653
2011 04 26 03	18.653
2011 04 26 04	18.639
2011 04 26 05	18.618
2011 04 26 06	18.617
2011 04 26 07	18.623
2011 04 26 08	18.624
2011 04 26 09	18.704
2011 04 26 10	18.83
2011 04 26 11	18.953
2011 04 26 12	19.147
2011 04 26 13	19.406
2011 04 26 14	19.652
2011 04 26 15	19.691
2011 04 26 16	19.57
2011 04 26 17	19.51
2011 04 26 18	19.391
2011 04 26 19	19.215
2011 04 26 20	19.068
2011 04 26 21	18.944
2011 04 26 22	18.845
2011 04 26 23	18.768
2011 04 27 00	18.713
2011 04 27 01	18.678
2011 04 27 02	18.651
2011 04 27 03	18.63
2011 04 27 04	18.611
2011 04 27 05	18.59
2011 04 27 06	18.598
2011 04 27 07	18.61
2011 04 27 08	18.613
2011 04 27 09	18.677
2011 04 27 10	18.788
2011 04 27 11	18.895
2011 04 27 12	19.088
2011 04 27 13	19.369
2011 04 27 14	19.623
2011 04 27 15	19.786
2011 04 27 16	19.897
2011 04 27 17	19.986
2011 04 27 18	19.9
2011 04 27 19	19.705
2011 04 27 20	19.579
2011 04 27 21	19.51
2011 04 27 22	19.446
2011 04 27 23	19.383
2011 04 28 00	19.326
2011 04 28 01	19.272
2011 04 28 02	19.221
2011 04 28 03	19.18
2011 04 28 04	19.144
2011 04 28 05	19.107
2011 04 28 06	19.109
2011 04 28 07	19.139
2011 04 28 08	19.18
2011 04 28 09	19.326
2011 04 28 10	19.527
2011 04 28 11	19.704
2011 04 28 12	19.849
2011 04 28 13	19.999
2011 04 28 14	20.19
2011 04 28 15	20.33
2011 04 28 16	20.378
2011 04 28 17	20.38
2011 04 28 18	20.317
2011 04 28 19	20.223
2011 04 28 20	20.133
2011 04 28 21	20.062
2011 04 28 22	20.0
2011 04 28 23	19.952
2011 04 29 00	19.917
2011 04 29 01	19.882
2011 04 29 02	19.842
2011 04 29 03	19.799
2011 04 29 04	19.757
2011 04 29 05	19.731
2011 04 29 06	19.737
2011 04 29 07	19.74
2011 04 29 08	19.743
2011 04 29 09	19.756
2011 04 29 10	19.76
2011 04 29 11	19.763
2011 04 29 12	19.757
2011 04 29 13	19.747
2011 04 29 14	19.76
2011 04 29 15	19.753
2011 04 29 16	19.733
2011 04 29 17	19.714
2011 04 29 18	19.668
2011 04 29 19	19.61
2011 04 29 20	19.569
2011 04 29 21	19.545
2011 04 29 22	19.543
2011 04 29 23	19.543
2011 04 30 00	19.538
2011 04 30 01	19.533
2011 04 30 02	19.524
2011 04 30 03	19.511
2011 04 30 04	19.491
2011 04 30 05	19.47
2011 04 30 06	19.454
2011 04 30 07	19.434
2011 04 30 08	19.42
2011 04 30 09	19.436
2011 04 30 10	19.469
2011 04 30 11	19.5
2011 04 30 12	19.542
2011 04 30 13	19.586
2011 04 30 14	19.629
2011 04 30 15	19.646
2011 04 30 16	19.644
2011 04 30 17	19.645
2011 04 30 18	19.62
2011 04 30 19	19.592
2011 04 30 20	19.565
2011 04 30 21	19.531
2011 04 30 22	19.507
2011 04 30 23	19.483
2011 05 01 00	19.465
2011 05 01 01	19.444
2011 05 01 02	19.42
2011 05 01 03	19.41
2011 05 01 04	19.402
2011 05 01 05	19.392
2011 05 01 06	19.402
2011 05 01 07	19.409
2011 05 01 08	19.406
2011 05 01 09	19.405
2011 05 01 10	19.412
2011 05 01 11	19.426
2011 05 01 12	19.425
2011 05 01 13	19.42
2011 05 01 14	19.418
2011 05 01 15	19.394
2011 05 01 16	19.371
2011 05 01 17	19.352
2011 05 01 18	19.334
2011 05 01 19	19.317
2011 05 01 20	19.301
2011 05 01 21	19.289
2011 05 01 22	19.272
2011 05 01 23	19.254
2011 05 02 00	19.239
2011 05 02 01	19.229
2011 05 02 02	19.218
2011 05 02 03	19.195
2011 05 02 04	19.17
2011 05 02 05	19.147
2011 05 02 06	19.149
2011 05 02 07	19.155
2011 05 02 08	19.156
2011 05 02 09	19.21
2011 05 02 10	19.296
2011 05 02 11	19.384
2011 05 02 12	19.493
2011 05 02 13	19.61
2011 05 02 14	19.719
2011 05 02 15	19.613
2011 05 02 16	19.513
2011 05 02 17	19.486
2011 05 02 18	19.462
2011 05 02 19	19.447
2011 05 02 20	19.432
2011 05 02 21	19.413
2011 05 02 22	19.393
2011 05 02 23	19.371
2011 05 03 00	19.351
2011 05 03 01	19.33
2011 05 03 02	19.308
2011 05 03 03	19.281
2011 05 03 04	19.256
2011 05 03 05	19.233
2011 05 03 06	19.232
2011 05 03 07	19.234
2011 05 03 08	19.233
2011 05 03 09	19.347
2011 05 03 10	19.566
2011 05 03 11	19.777
2011 05 03 12	19.643
2011 05 03 13	19.651
2011 05 03 14	19.707
2011 05 03 15	19.622
2011 05 03 16	19.519
2011 05 03 17	19.48
2011 05 03 18	19.439
2011 05 03 19	19.401
2011 05 03 20	19.373
2011 05 03 21	19.349
2011 05 03 22	19.335
2011 05 03 23	19.319
2011 05 04 00	19.295
2011 05 04 01	19.273
2011 05 04 02	19.25
2011 05 04 03	19.225
2011 05 04 04	19.208
2011 05 04 05	19.192
2011 05 04 06	19.205
2011 05 04 07	19.219
2011 05 04 08	19.228
2011 05 04 09	19.298
2011 05 04 10	19.399
2011 05 04 11	19.488
2011 05 04 12	19.599
2011 05 04 13	19.728
2011 05 04 14	19.849
2011 05 04 15	19.744
2011 05 04 16	19.636
2011 05 04 17	19.598
2011 05 04 18	19.556
2011 05 04 19	19.521
2011 05 04 20	19.489
2011 05 04 21	19.453
2011 05 04 22	19.412
2011 05 04 23	19.365
2011 05 05 00	19.314
2011 05 05 01	19.258
2011 05 05 02	19.207
2011 05 05 03	19.166
2011 05 05 04	19.133
2011 05 05 05	19.108
2011 05 05 06	19.109
2011 05 05 07	19.123
2011 05 05 08	19.148
2011 05 05 09	19.233
2011 05 05 10	19.344
2011 05 05 11	19.441
2011 05 05 12	19.645
2011 05 05 13	19.968
2011 05 05 14	20.26
2011 05 05 15	19.99
2011 05 05 16	19.855
2011 05 05 17	19.834
2011 05 05 18	19.771
2011 05 05 19	19.692
2011 05 05 20	19.613
2011 05 05 21	19.532
2011 05 05 22	19.457
2011 05 05 23	19.391
2011 05 06 00	19.332
2011 05 06 01	19.301
2011 05 06 02	19.288
2011 05 06 03	19.294
2011 05 06 04	19.291
2011 05 06 05	19.289
2011 05 06 06	19.309
2011 05 06 07	19.332
2011 05 06 08	19.352
2011 05 06 09	19.488
2011 05 06 10	19.731
2011 05 06 11	19.979
2011 05 06 12	20.058
2011 05 06 13	20.038
2011 05 06 14	20.104
2011 05 06 15	20.027
2011 05 06 16	19.897
2011 05 06 17	19.85
2011 05 06 18	19.744
2011 05 06 19	19.618
2011 05 06 20	19.531
2011 05 06 21	19.454
2011 05 06 22	19.385
2011 05 06 23	19.331
2011 05 07 00	19.288
2011 05 07 01	19.251
2011 05 07 02	19.226
2011 05 07 03	19.208
2011 05 07 04	19.184
2011 05 07 05	19.161
2011 05 07 06	19.152
2011 05 07 07	19.154
2011 05 07 08	19.153
2011 05 07 09	19.199
2011 05 07 10	19.261
2011 05 07 11	19.309
2011 05 07 12	19.316
2011 05 07 13	19.314
2011 05 07 14	19.341
2011 05 07 15	19.356
2011 05 07 16	19.368
2011 05 07 17	19.379
2011 05 07 18	19.358
2011 05 07 19	19.323
2011 05 07 20	19.284
2011 05 07 21	19.237
2011 05 07 22	19.187
2011 05 07 23	19.129
2011 05 08 00	19.061
2011 05 08 01	19.008
2011 05 08 02	18.971
2011 05 08 03	18.964
2011 05 08 04	18.968
2011 05 08 05	18.966
2011 05 08 06	18.982
2011 05 08 07	18.989
2011 05 08 08	18.987
2011 05 08 09	19.04
2011 05 08 10	19.12
2011 05 08 11	19.2
2011 05 08 12	19.387
2011 05 08 13	19.677
2011 05 08 14	19.933
2011 05 08 15	20.041
2011 05 08 16	20.029
2011 05 08 17	19.982
2011 05 08 18	19.798
2011 05 08 19	19.634
2011 05 08 20	19.521
2011 05 08 21	19.425
2011 05 08 22	19.352
2011 05 08 23	19.299
2011 05 09 00	19.242
2011 05 09 01	19.18
2011 05 09 02	19.124
2011 05 09 03	19.076
2011 05 09 04	19.038
2011 05 09 05	19.013
2011 05 09 06	19.013
2011 05 09 07	19.017
2011 05 09 08	19.018
2011 05 09 09	19.074
2011 05 09 10	19.158
2011 05 09 11	19.245
2011 05 09 12	19.412
2011 05 09 13	19.635
2011 05 09 14	19.851
2011 05 09 15	20.02
2011 05 09 16	20.139
2011 05 09 17	20.204
2011 05 09 18	20.138
2011 05 09 19	19.973
2011 05 09 20	19.832
2011 05 09 21	19.703
2011 05 09 22	19.596
2011 05 09 23	19.545
2011 05 10 00	19.51
2011 05 10 01	19.472
2011 05 10 02	19.445
2011 05 10 03	19.423
2011 05 10 04	19.4
2011 05 10 05	19.388
2011 05 10 06	19.401
2011 05 10 07	19.422
2011 05 10 08	19.444
2011 05 10 09	19.505
2011 05 10 10	19.581
2011 05 10 11	19.656
2011 05 10 12	19.745
2011 05 10 13	19.839
2011 05 10 14	19.917
2011 05 10 15	19.931
2011 05 10 16	19.913
2011 05 10 17	19.91
2011 05 10 18	19.882
2011 05 10 19	19.844
2011 05 10 20	19.816
2011 05 10 21	19.788
2011 05 10 22	19.758
