Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2012 01 23 12	0.081	323.19
2012 01 23 13	0.075	331.46
2012 01 23 14	0.059	336.9
2012 01 23 15	0.036	336.95
2012 01 23 16	0.015	286.84
2012 01 23 17	0.026	234.1
2012 01 23 18	0.036	230.47
2012 01 23 19	0.039	239.44
2012 01 23 20	0.038	259.43
2012 01 23 21	0.037	283.86
2012 01 23 22	0.042	310.86
2012 01 23 23	0.049	327.77
2012 01 24 00	0.046	339.3
2012 01 24 01	0.034	330.69
2012 01 24 02	0.027	285.98
2012 01 24 03	0.045	250.3
2012 01 24 04	0.074	239.71
2012 01 24 05	0.096	241.39
2012 01 24 06	0.108	246.6
2012 01 24 07	0.11	257.86
2012 01 24 08	0.106	272.07
2012 01 24 09	0.106	290.25
2012 01 24 10	0.114	309.72
2012 01 24 11	0.125	326.16
2012 01 24 12	0.13	337.66
2012 01 24 13	0.125	343.92
2012 01 24 14	0.106	344.7
2012 01 24 15	0.076	336.68
2012 01 24 16	0.052	311.68
2012 01 24 17	0.053	278.83
2012 01 24 18	0.064	266.69
2012 01 24 19	0.069	267.12
2012 01 24 20	0.069	275.58
2012 01 24 21	0.07	289.9
2012 01 24 22	0.078	307.17
2012 01 24 23	0.088	320.58
2012 01 25 00	0.095	330.45
2012 01 25 01	0.094	333.24
2012 01 25 02	0.085	326.97
2012 01 25 03	0.073	312.02
2012 01 25 04	0.071	287.38
2012 01 25 05	0.081	270.18
2012 01 25 06	0.09	263.26
2012 01 25 07	0.095	265.53
2012 01 25 08	0.094	274.76
2012 01 25 09	0.097	290.54
2012 01 25 10	0.109	307.35
2012 01 25 11	0.127	322.87
2012 01 25 12	0.145	333.6
2012 01 25 13	0.157	341.56
2012 01 25 14	0.158	347.67
2012 01 25 15	0.145	353.66
2012 01 25 16	0.113	358.87
2012 01 25 17	0.074	4.35
2012 01 25 18	0.043	15.35
2012 01 25 19	0.023	33.07
2012 01 25 20	0.013	39.65
2012 01 25 21	0.008	358.08
2012 01 25 22	0.02	336.36
2012 01 25 23	0.036	335.28
2012 01 26 00	0.046	334.48
2012 01 26 01	0.054	332.47
2012 01 26 02	0.057	324.95
2012 01 26 03	0.058	313.6
2012 01 26 04	0.059	294.83
2012 01 26 05	0.068	279.26
2012 01 26 06	0.073	273.02
2012 01 26 07	0.072	269.81
2012 01 26 08	0.06	272.61
2012 01 26 09	0.049	285.05
2012 01 26 10	0.046	304.95
2012 01 26 11	0.054	325.12
2012 01 26 12	0.067	335.2
2012 01 26 13	0.082	339.95
2012 01 26 14	0.1	345.51
2012 01 26 15	0.107	356.19
2012 01 26 16	0.093	10.35
2012 01 26 17	0.071	35.74
2012 01 26 18	0.061	74.26
2012 01 26 19	0.065	104.5
2012 01 26 20	0.069	123.4
2012 01 26 21	0.069	135.1
2012 01 26 22	0.065	139.98
2012 01 26 23	0.054	142.32
2012 01 27 00	0.043	144.0
2012 01 27 01	0.032	146.76
2012 01 27 02	0.023	155.96
2012 01 27 03	0.022	178.1
2012 01 27 04	0.028	194.61
2012 01 27 05	0.04	200.57
2012 01 27 06	0.048	200.94
2012 01 27 07	0.048	199.79
2012 01 27 08	0.035	195.2
2012 01 27 09	0.018	175.05
2012 01 27 10	0.014	104.38
2012 01 27 11	0.025	65.7
2012 01 27 12	0.039	53.05
2012 01 27 13	0.05	50.49
2012 01 27 14	0.051	55.78
2012 01 27 15	0.041	65.68
2012 01 27 16	0.026	94.19
2012 01 27 17	0.027	160.96
2012 01 27 18	0.048	196.7
2012 01 27 19	0.067	213.75
2012 01 27 20	0.08	226.51
2012 01 27 21	0.088	240.61
2012 01 27 22	0.096	256.55
2012 01 27 23	0.106	272.44
2012 01 28 00	0.113	284.01
2012 01 28 01	0.114	293.41
2012 01 28 02	0.111	298.18
2012 01 28 03	0.102	299.07
2012 01 28 04	0.091	293.71
2012 01 28 05	0.083	280.7
2012 01 28 06	0.084	267.66
2012 01 28 07	0.093	259.78
2012 01 28 08	0.097	259.57
2012 01 28 09	0.098	265.48
2012 01 28 10	0.096	276.03
2012 01 28 11	0.098	288.44
2012 01 28 12	0.104	301.88
2012 01 28 13	0.113	312.97
2012 01 28 14	0.122	321.06
2012 01 28 15	0.128	329.07
2012 01 28 16	0.121	339.74
2012 01 28 17	0.102	351.44
2012 01 28 18	0.075	3.65
2012 01 28 19	0.047	25.01
2012 01 28 20	0.038	65.71
2012 01 28 21	0.047	92.69
2012 01 28 22	0.052	102.45
2012 01 28 23	0.051	108.31
2012 01 29 00	0.047	109.83
2012 01 29 01	0.039	110.91
2012 01 29 02	0.032	104.67
2012 01 29 03	0.026	96.84
2012 01 29 04	0.023	100.22
2012 01 29 05	0.024	117.73
2012 01 29 06	0.029	136.2
2012 01 29 07	0.036	151.7
2012 01 29 08	0.039	157.03
2012 01 29 09	0.038	153.13
2012 01 29 10	0.033	142.17
2012 01 29 11	0.027	116.62
2012 01 29 12	0.028	82.38
2012 01 29 13	0.035	53.66
2012 01 29 14	0.051	30.39
2012 01 29 15	0.075	23.73
2012 01 29 16	0.092	30.66
2012 01 29 17	0.103	42.11
2012 01 29 18	0.105	55.7
2012 01 29 19	0.105	70.83
2012 01 29 20	0.109	83.91
2012 01 29 21	0.111	93.3
2012 01 29 22	0.11	99.1
2012 01 29 23	0.104	100.71
2012 01 30 00	0.098	97.82
2012 01 30 01	0.093	89.63
2012 01 30 02	0.092	80.87
2012 01 30 03	0.091	75.17
2012 01 30 04	0.093	73.61
2012 01 30 05	0.094	75.77
2012 01 30 06	0.092	81.79
2012 01 30 07	0.085	89.19
2012 01 30 08	0.076	97.31
2012 01 30 09	0.07	102.0
2012 01 30 10	0.066	97.41
2012 01 30 11	0.065	86.09
2012 01 30 12	0.073	75.43
2012 01 30 13	0.091	70.53
2012 01 30 14	0.113	71.24
2012 01 30 15	0.136	75.72
2012 01 30 16	0.153	81.96
2012 01 30 17	0.166	87.49
2012 01 30 18	0.172	93.32
2012 01 30 19	0.17	98.81
2012 01 30 20	0.165	104.4
2012 01 30 21	0.157	108.92
2012 01 30 22	0.15	111.42
2012 01 30 23	0.143	110.75
2012 01 31 00	0.134	108.89
2012 01 31 01	0.128	104.59
2012 01 31 02	0.128	99.56
2012 01 31 03	0.131	95.84
2012 01 31 04	0.138	93.15
2012 01 31 05	0.146	92.67
2012 01 31 06	0.151	94.56
2012 01 31 07	0.155	97.83
2012 01 31 08	0.155	101.55
2012 01 31 09	0.152	105.66
2012 01 31 10	0.144	107.34
2012 01 31 11	0.136	105.21
2012 01 31 12	0.13	99.93
2012 01 31 13	0.132	90.6
2012 01 31 14	0.155	78.97
2012 01 31 15	0.197	74.81
2012 01 31 16	0.252	77.01
2012 01 31 17	0.305	81.44
2012 01 31 18	0.347	86.68
2012 01 31 19	0.368	91.9
2012 01 31 20	0.367	97.72
2012 01 31 21	0.352	102.99
2012 01 31 22	0.326	107.69
2012 01 31 23	0.296	111.11
2012 02 01 00	0.311	105.54
2012 02 01 01	0.293	104.88
2012 02 01 02	0.276	104.12
2012 02 01 03	0.256	103.83
2012 02 01 04	0.236	103.94
2012 02 01 05	0.219	103.13
2012 02 01 06	0.21	100.63
2012 02 01 07	0.205	98.66
2012 02 01 08	0.206	97.82
2012 02 01 09	0.212	98.74
2012 02 01 10	0.219	100.03
2012 02 01 11	0.229	100.89
2012 02 01 12	0.241	101.05
2012 02 01 13	0.26	100.24
2012 02 01 14	0.284	98.31
2012 02 01 15	0.312	97.67
2012 02 01 16	0.333	100.43
2012 02 01 17	0.337	104.24
2012 02 01 18	0.325	106.62
2012 02 01 19	0.313	107.33
2012 02 01 20	0.301	108.47
2012 02 01 21	0.29	110.52
2012 02 01 22	0.28	113.81
2012 02 01 23	0.265	117.15
2012 02 02 00	0.25	119.45
2012 02 02 01	0.236	119.41
2012 02 02 02	0.23	116.62
2012 02 02 03	0.236	113.57
2012 02 02 04	0.242	113.42
2012 02 02 05	0.244	115.24
2012 02 02 06	0.241	119.88
2012 02 02 07	0.23	127.04
2012 02 02 08	0.215	136.36
2012 02 02 09	0.194	148.18
2012 02 02 10	0.17	161.12
2012 02 02 11	0.146	173.82
2012 02 02 12	0.122	185.91
2012 02 02 13	0.099	194.47
2012 02 02 14	0.076	200.8
2012 02 02 15	0.052	207.1
2012 02 02 16	0.03	213.1
2012 02 02 17	0.009	215.66
2012 02 02 18	0.013	64.12
2012 02 02 19	0.033	74.62
2012 02 02 20	0.048	82.14
2012 02 02 21	0.057	95.46
2012 02 02 22	0.061	113.63
2012 02 02 23	0.061	132.09
2012 02 03 00	0.061	148.7
2012 02 03 01	0.059	164.47
2012 02 03 02	0.052	182.11
2012 02 03 03	0.041	206.62
2012 02 03 04	0.038	247.73
2012 02 03 05	0.05	282.9
2012 02 03 06	0.068	307.83
2012 02 03 07	0.082	322.18
2012 02 03 08	0.088	331.95
2012 02 03 09	0.081	337.19
2012 02 03 10	0.065	336.95
2012 02 03 11	0.045	326.1
2012 02 03 12	0.035	295.64
2012 02 03 13	0.043	261.19
2012 02 03 14	0.057	248.31
2012 02 03 15	0.072	247.13
2012 02 03 16	0.091	244.79
2012 02 03 17	0.111	244.8
2012 02 03 18	0.142	245.76
2012 02 03 19	0.177	249.76
2012 02 03 20	0.211	255.39
2012 02 03 21	0.243	262.27
2012 02 03 22	0.268	268.66
2012 02 03 23	0.285	275.06
2012 02 04 00	0.289	280.5
2012 02 04 01	0.28	283.9
2012 02 04 02	0.264	285.72
2012 02 04 03	0.242	286.48
2012 02 04 04	0.222	286.52
2012 02 04 05	0.207	285.75
2012 02 04 06	0.196	286.75
2012 02 04 07	0.186	288.63
2012 02 04 08	0.178	290.9
2012 02 04 09	0.169	292.87
2012 02 04 10	0.158	292.96
2012 02 04 11	0.148	289.97
2012 02 04 12	0.142	284.97
2012 02 04 13	0.137	279.15
2012 02 04 14	0.134	274.67
2012 02 04 15	0.129	272.66
2012 02 04 16	0.122	271.45
2012 02 04 17	0.114	272.07
2012 02 04 18	0.104	274.0
2012 02 04 19	0.095	279.83
2012 02 04 20	0.084	285.92
2012 02 04 21	0.073	292.7
2012 02 04 22	0.061	294.43
2012 02 04 23	0.047	288.86
2012 02 05 00	0.038	270.44
2012 02 05 01	0.04	247.08
2012 02 05 02	0.045	230.95
2012 02 05 03	0.047	224.77
2012 02 05 04	0.041	222.91
2012 02 05 05	0.029	223.47
2012 02 05 06	0.012	227.84
2012 02 05 07	0.003	45.88
2012 02 05 08	0.017	49.78
2012 02 05 09	0.027	58.35
2012 02 05 10	0.032	69.26
2012 02 05 11	0.03	88.67
2012 02 05 12	0.028	122.48
2012 02 05 13	0.03	143.34
2012 02 05 14	0.032	152.64
2012 02 05 15	0.035	154.75
2012 02 05 16	0.039	154.02
2012 02 05 17	0.038	146.81
2012 02 05 18	0.038	129.01
2012 02 05 19	0.041	104.59
2012 02 05 20	0.054	84.15
2012 02 05 21	0.069	77.11
2012 02 05 22	0.084	76.72
2012 02 05 23	0.093	82.26
2012 02 06 00	0.097	90.81
2012 02 06 01	0.094	99.34
2012 02 06 02	0.091	107.42
2012 02 06 03	0.086	112.0
2012 02 06 04	0.085	108.65
2012 02 06 05	0.087	100.09
2012 02 06 06	0.099	88.43
2012 02 06 07	0.116	80.74
2012 02 06 08	0.136	75.74
2012 02 06 09	0.157	74.27
2012 02 06 10	0.175	76.56
2012 02 06 11	0.183	81.29
2012 02 06 12	0.181	89.09
2012 02 06 13	0.174	98.28
2012 02 06 14	0.165	109.48
2012 02 06 15	0.155	117.61
2012 02 06 16	0.144	121.77
2012 02 06 17	0.141	117.61
2012 02 06 18	0.148	110.0
2012 02 06 19	0.164	102.2
2012 02 06 20	0.185	97.09
2012 02 06 21	0.201	94.51
2012 02 06 22	0.211	94.23
2012 02 06 23	0.217	95.41
2012 02 07 00	0.216	98.86
2012 02 07 01	0.213	105.0
2012 02 07 02	0.209	112.54
2012 02 07 03	0.203	119.69
2012 02 07 04	0.197	124.44
2012 02 07 05	0.188	125.65
2012 02 07 06	0.176	121.73
2012 02 07 07	0.169	114.84
2012 02 07 08	0.167	105.92
2012 02 07 09	0.173	97.99
2012 02 07 10	0.181	93.18
2012 02 07 11	0.187	91.86
2012 02 07 12	0.187	94.61
2012 02 07 13	0.182	100.42
2012 02 07 14	0.174	109.78
2012 02 07 15	0.166	119.15
2012 02 07 16	0.157	125.34
2012 02 07 17	0.151	127.07
2012 02 07 18	0.143	124.34
2012 02 07 19	0.136	117.96
2012 02 07 20	0.134	108.79
2012 02 07 21	0.138	100.1
2012 02 07 22	0.146	93.64
2012 02 07 23	0.155	91.6
2012 02 08 00	0.159	94.44
2012 02 08 01	0.153	100.64
2012 02 08 02	0.138	110.93
2012 02 08 03	0.121	121.98
2012 02 08 04	0.108	136.58
2012 02 08 05	0.093	148.71
2012 02 08 06	0.074	151.7
2012 02 08 07	0.057	142.38
2012 02 08 08	0.051	114.81
2012 02 08 09	0.063	88.93
2012 02 08 10	0.079	75.96
2012 02 08 11	0.092	70.19
2012 02 08 12	0.097	71.16
2012 02 08 13	0.09	78.9
2012 02 08 14	0.074	94.22
2012 02 08 15	0.062	117.27
2012 02 08 16	0.063	146.5
2012 02 08 17	0.073	165.48
2012 02 08 18	0.078	177.37
2012 02 08 19	0.069	190.98
2012 02 08 20	0.051	208.95
2012 02 08 21	0.034	243.27
2012 02 08 22	0.03	291.86
2012 02 08 23	0.037	323.86
2012 02 09 00	0.037	332.8
2012 02 09 01	0.026	333.39
2012 02 09 02	0.017	283.68
2012 02 09 03	0.035	238.05
2012 02 09 04	0.067	233.01
2012 02 09 05	0.099	236.61
2012 02 09 06	0.114	243.79
2012 02 09 07	0.121	252.45
2012 02 09 08	0.115	264.19
2012 02 09 09	0.104	278.96
2012 02 09 10	0.094	294.5
2012 02 09 11	0.088	310.4
2012 02 09 12	0.08	322.07
2012 02 09 13	0.069	327.36
2012 02 09 14	0.057	322.11
2012 02 09 15	0.047	308.34
2012 02 09 16	0.034	288.21
2012 02 09 17	0.028	259.47
2012 02 09 18	0.029	240.63
2012 02 09 19	0.026	232.6
2012 02 09 20	0.014	230.5
2012 02 09 21	0.003	6.7
2012 02 09 22	0.027	35.97
2012 02 09 23	0.054	41.09
2012 02 10 00	0.077	49.45
2012 02 10 01	0.092	59.23
2012 02 10 02	0.095	70.24
2012 02 10 03	0.091	83.44
2012 02 10 04	0.084	100.54
2012 02 10 05	0.079	119.06
2012 02 10 06	0.074	129.68
2012 02 10 07	0.067	130.32
2012 02 10 08	0.06	116.86
2012 02 10 09	0.069	91.99
2012 02 10 10	0.092	77.12
2012 02 10 11	0.119	70.7
2012 02 10 12	0.146	70.61
2012 02 10 13	0.168	72.55
2012 02 10 14	0.187	74.61
2012 02 10 15	0.197	78.99
2012 02 10 16	0.195	88.65
2012 02 10 17	0.186	100.32
2012 02 10 18	0.176	111.49
2012 02 10 19	0.159	118.23
2012 02 10 20	0.143	118.65
2012 02 10 21	0.13	111.49
2012 02 10 22	0.13	98.83
2012 02 10 23	0.144	86.07
2012 02 11 00	0.168	79.37
2012 02 11 01	0.188	78.66
2012 02 11 02	0.198	82.42
2012 02 11 03	0.197	88.75
2012 02 11 04	0.189	97.44
2012 02 11 05	0.178	107.06
2012 02 11 06	0.167	115.63
2012 02 11 07	0.153	120.19
2012 02 11 08	0.14	118.72
2012 02 11 09	0.128	111.74
2012 02 11 10	0.124	102.25
2012 02 11 11	0.126	93.4
2012 02 11 12	0.127	85.71
2012 02 11 13	0.124	79.51
2012 02 11 14	0.122	72.03
2012 02 11 15	0.127	69.42
2012 02 11 16	0.127	74.65
2012 02 11 17	0.124	82.67
2012 02 11 18	0.118	93.92
2012 02 11 19	0.112	106.66
2012 02 11 20	0.103	115.32
2012 02 11 21	0.09	115.26
2012 02 11 22	0.077	108.58
2012 02 11 23	0.067	97.54
2012 02 12 00	0.062	66.48
2012 02 12 01	0.065	54.43
2012 02 12 02	0.062	46.21
2012 02 12 03	0.049	41.43
2012 02 12 04	0.022	44.04
2012 02 12 05	0.004	179.99
2012 02 12 06	0.033	218.56
2012 02 12 07	0.06	228.14
2012 02 12 08	0.074	237.42
2012 02 12 09	0.078	249.78
2012 02 12 10	0.074	268.29
2012 02 12 11	0.073	288.75
2012 02 12 12	0.076	311.18
2012 02 12 13	0.083	327.56
2012 02 12 14	0.089	337.71
2012 02 12 15	0.086	343.91
2012 02 12 16	0.07	348.69
2012 02 12 17	0.042	347.03
2012 02 12 18	0.016	300.97
2012 02 12 19	0.031	242.36
2012 02 12 20	0.047	237.89
2012 02 12 21	0.053	248.52
2012 02 12 22	0.048	269.27
2012 02 12 23	0.045	299.76
2012 02 13 00	0.05	332.25
2012 02 13 01	0.059	353.77
2012 02 13 02	0.065	4.76
2012 02 13 03	0.062	11.4
2012 02 13 04	0.048	12.35
2012 02 13 05	0.026	3.11
2012 02 13 06	0.013	300.33
2012 02 13 07	0.029	249.53
2012 02 13 08	0.045	243.4
2012 02 13 09	0.053	249.08
2012 02 13 10	0.054	263.41
2012 02 13 11	0.054	285.64
2012 02 13 12	0.06	309.72
2012 02 13 13	0.07	327.83
2012 02 13 14	0.082	338.93
2012 02 13 15	0.089	345.44
2012 02 13 16	0.083	350.08
2012 02 13 17	0.069	353.04
2012 02 13 18	0.046	354.74
2012 02 13 19	0.021	354.04
2012 02 13 20	0.005	296.12
2012 02 13 21	0.01	239.39
2012 02 13 22	0.009	260.84
2012 02 13 23	0.011	348.09
2012 02 14 00	0.028	6.71
2012 02 14 01	0.051	23.08
2012 02 14 02	0.07	29.76
2012 02 14 03	0.083	36.0
2012 02 14 04	0.087	42.46
2012 02 14 05	0.081	50.72
2012 02 14 06	0.073	60.26
2012 02 14 07	0.06	73.09
2012 02 14 08	0.05	86.88
2012 02 14 09	0.043	98.22
2012 02 14 10	0.042	101.02
2012 02 14 11	0.045	92.77
2012 02 14 12	0.053	83.72
2012 02 14 13	0.071	73.02
2012 02 14 14	0.095	66.56
2012 02 14 15	0.119	63.17
2012 02 14 16	0.128	63.82
2012 02 14 17	0.125	66.7
2012 02 14 18	0.115	72.1
2012 02 14 19	0.106	80.49
2012 02 14 20	0.099	91.96
2012 02 14 21	0.091	104.11
2012 02 14 22	0.079	115.55
2012 02 14 23	0.065	124.74
2012 02 15 00	0.417	101.52
2012 02 15 01	0.406	100.81
2012 02 15 02	0.394	98.48
2012 02 15 03	0.385	96.13
2012 02 15 04	0.382	94.38
2012 02 15 05	0.379	93.35
2012 02 15 06	0.371	93.43
2012 02 15 07	0.357	95.02
2012 02 15 08	0.344	97.74
2012 02 15 09	0.329	100.56
2012 02 15 10	0.313	102.61
2012 02 15 11	0.3	103.2
2012 02 15 12	0.285	102.23
2012 02 15 13	0.28	98.72
2012 02 15 14	0.281	94.8
2012 02 15 15	0.288	91.29
2012 02 15 16	0.296	88.95
2012 02 15 17	0.305	88.05
2012 02 15 18	0.31	88.47
2012 02 15 19	0.311	90.51
2012 02 15 20	0.306	93.7
2012 02 15 21	0.3	98.0
2012 02 15 22	0.295	101.68
2012 02 15 23	0.289	104.37
2012 02 16 00	0.284	105.25
2012 02 16 01	0.273	104.13
2012 02 16 02	0.263	100.93
2012 02 16 03	0.256	97.16
2012 02 16 04	0.252	94.54
2012 02 16 05	0.25	92.75
2012 02 16 06	0.25	91.84
2012 02 16 07	0.246	92.8
2012 02 16 08	0.241	95.23
2012 02 16 09	0.232	99.64
2012 02 16 10	0.217	104.62
2012 02 16 11	0.197	109.81
2012 02 16 12	0.17	112.65
2012 02 16 13	0.141	109.27
2012 02 16 14	0.128	92.56
2012 02 16 15	0.158	74.91
2012 02 16 16	0.205	70.6
2012 02 16 17	0.255	71.44
2012 02 16 18	0.294	74.84
2012 02 16 19	0.313	79.34
2012 02 16 20	0.315	85.27
2012 02 16 21	0.303	91.33
2012 02 16 22	0.284	97.47
2012 02 16 23	0.264	103.13
2012 02 17 00	0.045	86.47
2012 02 17 01	0.091	47.52
2012 02 17 02	0.145	57.78
2012 02 17 03	0.085	189.08
2012 02 17 04	0.03	202.3
2012 02 17 05	0.171	40.43
2012 02 17 06	0.01	95.69
2012 02 17 07	0.078	37.02
2012 02 17 08	0.095	34.12
2012 02 17 09	0.006	269.91
2012 02 17 10	0.053	5.87
2012 02 17 11	0.039	351.87
2012 02 17 12	0.048	281.8
2012 02 17 13	0.058	289.74
2012 02 17 14	0.083	327.84
2012 02 17 15	0.086	310.46
2012 02 17 16	0.105	343.2
2012 02 17 17	0.112	358.78
2012 02 17 18	0.111	10.65
2012 02 17 19	0.113	26.46
2012 02 17 20	0.091	39.62
2012 02 17 21	0.063	51.27
2012 02 17 22	0.045	71.18
2012 02 17 23	0.025	139.15
2012 02 18 00	0.058	190.27
2012 02 18 01	0.064	204.22
2012 02 18 02	0.098	214.93
2012 02 18 03	0.099	226.1
2012 02 18 04	0.091	239.2
2012 02 18 05	0.077	256.76
2012 02 18 06	0.071	270.22
2012 02 18 07	0.066	298.09
2012 02 18 08	0.07	306.8
2012 02 18 09	0.075	311.1
2012 02 18 10	0.082	308.51
2012 02 18 11	0.092	301.62
2012 02 18 12	0.105	300.93
2012 02 18 13	0.122	302.57
2012 02 18 14	0.141	310.55
2012 02 18 15	0.162	325.6
2012 02 18 16	0.179	340.9
2012 02 18 17	0.195	356.82
2012 02 18 18	0.216	12.25
2012 02 18 19	0.236	24.94
2012 02 18 20	0.236	35.03
2012 02 18 21	0.224	44.82
2012 02 18 22	0.2	54.89
2012 02 18 23	0.165	67.32
2012 02 19 00	0.131	82.24
2012 02 19 01	0.1	99.23
2012 02 19 02	0.078	109.59
2012 02 19 03	0.057	112.84
2012 02 19 04	0.043	100.83
2012 02 19 05	0.042	73.87
2012 02 19 06	0.059	53.18
2012 02 19 07	0.076	43.43
2012 02 19 08	0.093	39.78
2012 02 19 09	0.106	37.36
2012 02 19 10	0.105	37.22
2012 02 19 11	0.089	37.62
2012 02 19 12	0.068	37.13
2012 02 19 13	0.052	33.89
2012 02 19 14	0.051	28.56
2012 02 19 15	0.06	27.79
2012 02 19 16	0.077	32.51
2012 02 19 17	0.101	38.73
2012 02 19 18	0.127	42.89
2012 02 19 19	0.144	47.06
2012 02 19 20	0.151	51.23
2012 02 19 21	0.151	55.33
2012 02 19 22	0.141	59.88
2012 02 19 23	0.121	66.7
2012 02 20 00	0.1	76.75
2012 02 20 01	0.077	90.08
2012 02 20 02	0.061	111.06
2012 02 20 03	0.053	132.47
2012 02 20 04	0.048	142.29
2012 02 20 05	0.04	139.6
2012 02 20 06	0.031	120.37
2012 02 20 07	0.033	79.89
2012 02 20 08	0.049	54.29
2012 02 20 09	0.064	44.52
2012 02 20 10	0.064	37.59
2012 02 20 11	0.049	22.88
2012 02 20 12	0.039	337.16
2012 02 20 13	0.071	294.9
2012 02 20 14	0.115	295.98
2012 02 20 15	0.134	305.12
2012 02 20 16	0.139	318.15
2012 02 20 17	0.136	336.93
2012 02 20 18	0.135	358.31
2012 02 20 19	0.139	16.51
2012 02 20 20	0.139	30.75
2012 02 20 21	0.132	41.93
2012 02 20 22	0.109	50.06
2012 02 20 23	0.075	58.21
2012 02 21 00	0.035	85.17
2012 02 21 01	0.03	170.34
2012 02 21 02	0.061	202.84
2012 02 21 03	0.089	213.21
2012 02 21 04	0.111	222.48
2012 02 21 05	0.137	234.89
2012 02 21 06	0.176	251.42
2012 02 21 07	0.225	267.26
2012 02 21 08	0.27	280.33
2012 02 21 09	0.307	293.22
2012 02 21 10	0.341	304.84
2012 02 21 11	0.365	313.36
2012 02 21 12	0.374	319.82
2012 02 21 13	0.364	324.83
2012 02 21 14	0.334	330.86
2012 02 21 15	0.279	338.18
2012 02 21 16	0.226	346.74
2012 02 21 17	0.189	358.87
2012 02 21 18	0.164	13.88
2012 02 21 19	0.152	27.97
2012 02 21 20	0.151	39.31
2012 02 21 21	0.151	48.16
2012 02 21 22	0.143	55.14
2012 02 21 23	0.123	62.48
2012 02 22 00	0.092	74.64
2012 02 22 01	0.061	96.93
2012 02 22 02	0.047	139.34
2012 02 22 03	0.06	180.53
2012 02 22 04	0.082	202.94
2012 02 22 05	0.1	222.01
2012 02 22 06	0.114	240.26
2012 02 22 07	0.122	259.51
2012 02 22 08	0.129	280.84
2012 02 22 09	0.142	302.09
2012 02 22 10	0.168	320.6
2012 02 22 11	0.193	333.63
2012 02 22 12	0.207	342.79
2012 02 22 13	0.208	349.5
2012 02 22 14	0.199	356.45
2012 02 22 15	0.189	5.87
2012 02 22 16	0.177	19.43
2012 02 22 17	0.178	34.78
2012 02 22 18	0.198	48.66
2012 02 22 19	0.222	60.96
2012 02 22 20	0.25	68.38
2012 02 22 21	0.273	73.38
2012 02 22 22	0.287	76.42
2012 02 22 23	0.29	78.98
2012 02 23 00	0.284	81.99
2012 02 23 01	0.266	85.96
2012 02 23 02	0.243	91.68
2012 02 23 03	0.22	98.38
2012 02 23 04	0.206	103.8
2012 02 23 05	0.199	106.93
2012 02 23 06	0.197	107.18
2012 02 23 07	0.199	104.26
2012 02 23 08	0.206	98.39
2012 02 23 09	0.216	92.15
2012 02 23 10	0.224	85.43
2012 02 23 11	0.234	79.96
2012 02 23 12	0.242	76.44
2012 02 23 13	0.242	74.5
2012 02 23 14	0.241	73.91
2012 02 23 15	0.242	74.28
2012 02 23 16	0.25	77.59
2012 02 23 17	0.27	81.12
2012 02 23 18	0.299	83.32
2012 02 23 19	0.329	84.09
2012 02 23 20	0.354	84.33
2012 02 23 21	0.371	83.81
2012 02 23 22	0.381	83.04
2012 02 23 23	0.385	82.21
2012 02 24 00	0.387	83.3
2012 02 24 01	0.384	85.81
2012 02 24 02	0.374	89.69
2012 02 24 03	0.36	94.78
2012 02 24 04	0.346	100.82
2012 02 24 05	0.333	106.74
2012 02 24 06	0.323	110.26
2012 02 24 07	0.314	111.3
2012 02 24 08	0.307	109.19
2012 02 24 09	0.302	105.55
2012 02 24 10	0.298	100.28
2012 02 24 11	0.298	94.86
2012 02 24 12	0.301	90.25
2012 02 24 13	0.303	87.03
2012 02 24 14	0.303	84.95
2012 02 24 15	0.307	84.27
2012 02 24 16	0.318	86.27
2012 02 24 17	0.338	89.52
2012 02 24 18	0.367	92.67
2012 02 24 19	0.396	95.2
2012 02 24 20	0.421	96.65
2012 02 24 21	0.436	96.81
2012 02 24 22	0.446	96.53
2012 02 24 23	0.449	95.84
2012 02 25 00	0.45	95.33
2012 02 25 01	0.447	95.76
2012 02 25 02	0.436	97.23
2012 02 25 03	0.419	100.17
2012 02 25 04	0.397	104.43
2012 02 25 05	0.379	108.77
2012 02 25 06	0.362	112.71
2012 02 25 07	0.348	114.6
2012 02 25 08	0.334	113.96
2012 02 25 09	0.318	111.4
2012 02 25 10	0.294	106.8
2012 02 25 11	0.273	99.76
2012 02 25 12	0.266	89.49
2012 02 25 13	0.289	79.85
2012 02 25 14	0.34	74.72
2012 02 25 15	0.395	76.21
2012 02 25 16	0.435	82.67
2012 02 25 17	0.459	89.13
2012 02 25 18	0.478	94.28
2012 02 25 19	0.49	98.13
2012 02 25 20	0.5	101.2
2012 02 25 21	0.504	103.66
2012 02 25 22	0.495	105.94
2012 02 25 23	0.468	108.29
2012 02 26 00	0.42	111.6
2012 02 26 01	0.358	115.55
2012 02 26 02	0.291	119.99
2012 02 26 03	0.228	123.68
2012 02 26 04	0.179	127.35
2012 02 26 05	0.151	126.73
2012 02 26 06	0.15	119.08
2012 02 26 07	0.174	109.53
2012 02 26 08	0.219	102.31
2012 02 26 09	0.274	96.03
2012 02 26 10	0.333	91.89
2012 02 26 11	0.399	89.84
2012 02 26 12	0.456	88.55
2012 02 26 13	0.493	88.13
2012 02 26 14	0.521	87.43
