Null value: -9999.9	
Date (GMT)	Salinity(psu)
2011 04 10 04	36.219
2011 04 10 05	36.219
2011 04 10 06	36.219
2011 04 10 07	36.219
2011 04 10 08	36.219
2011 04 10 09	36.219
2011 04 10 10	36.219
2011 04 10 11	36.219
2011 04 10 12	36.219
2011 04 10 13	36.219
2011 04 10 14	36.219
2011 04 10 15	36.219
2011 04 10 16	36.219
2011 04 10 17	36.219
2011 04 10 18	36.219
2011 04 10 19	36.219
2011 04 10 20	36.219
2011 04 10 21	36.219
2011 04 10 22	36.219
2011 04 10 23	36.219
2011 04 11 00	35.974
2011 04 11 01	35.974
2011 04 11 02	35.974
2011 04 11 03	35.974
2011 04 11 04	35.974
2011 04 11 05	35.974
2011 04 11 06	35.974
2011 04 11 07	35.974
2011 04 11 08	35.974
2011 04 11 09	35.974
2011 04 11 10	35.974
2011 04 11 11	35.974
2011 04 11 12	35.974
2011 04 11 13	35.974
2011 04 11 14	35.974
2011 04 11 15	35.974
2011 04 11 16	35.974
2011 04 11 17	35.974
2011 04 11 18	35.974
2011 04 11 19	35.974
2011 04 11 20	35.974
2011 04 11 21	35.974
2011 04 11 22	35.974
2011 04 11 23	35.974
2011 04 12 00	36.133
2011 04 12 01	36.133
2011 04 12 02	36.133
2011 04 12 03	36.133
2011 04 12 04	36.133
2011 04 12 05	36.133
2011 04 12 06	36.133
2011 04 12 07	36.133
2011 04 12 08	36.133
2011 04 12 09	36.133
2011 04 12 10	36.133
2011 04 12 11	36.133
2011 04 12 12	36.133
2011 04 12 13	36.133
2011 04 12 14	36.133
2011 04 12 15	36.133
2011 04 12 16	36.133
2011 04 12 17	36.133
2011 04 12 18	36.133
2011 04 12 19	36.133
2011 04 12 20	36.133
2011 04 12 21	36.133
2011 04 12 22	36.133
2011 04 12 23	36.133
2011 04 13 00	36.34
2011 04 13 01	36.34
2011 04 13 02	36.34
2011 04 13 03	36.34
2011 04 13 04	36.34
2011 04 13 05	36.34
2011 04 13 06	36.34
2011 04 13 07	36.34
2011 04 13 08	36.34
2011 04 13 09	36.34
2011 04 13 10	36.34
2011 04 13 11	36.34
2011 04 13 12	36.34
2011 04 13 13	36.34
2011 04 13 14	36.34
2011 04 13 15	36.34
2011 04 13 16	36.34
2011 04 13 17	36.34
2011 04 13 18	36.34
2011 04 13 19	36.34
2011 04 13 20	36.34
2011 04 13 21	36.34
2011 04 13 22	36.34
2011 04 13 23	36.34
2011 04 14 00	36.292
2011 04 14 01	36.292
2011 04 14 02	36.292
2011 04 14 03	36.292
2011 04 14 04	36.292
2011 04 14 05	36.292
2011 04 14 06	36.292
2011 04 14 07	36.292
2011 04 14 08	36.292
2011 04 14 09	36.292
2011 04 14 10	36.292
2011 04 14 11	36.292
2011 04 14 12	36.292
2011 04 14 13	36.292
2011 04 14 14	36.292
2011 04 14 15	36.292
2011 04 14 16	36.292
2011 04 14 17	36.292
2011 04 14 18	36.292
2011 04 14 19	36.292
2011 04 14 20	36.292
2011 04 14 21	36.292
2011 04 14 22	36.292
2011 04 14 23	36.292
2011 04 15 00	36.27
2011 04 15 01	36.27
2011 04 15 02	36.27
2011 04 15 03	36.27
2011 04 15 04	36.27
2011 04 15 05	36.27
2011 04 15 06	36.27
2011 04 15 07	36.27
2011 04 15 08	36.27
2011 04 15 09	36.27
2011 04 15 10	36.27
2011 04 15 11	36.27
2011 04 15 12	36.27
2011 04 15 13	36.27
2011 04 15 14	36.27
2011 04 15 15	36.27
2011 04 15 16	36.27
2011 04 15 17	36.27
2011 04 15 18	36.27
2011 04 15 19	36.27
2011 04 15 20	36.27
2011 04 15 21	36.27
2011 04 15 22	36.27
2011 04 15 23	36.27
2011 04 16 00	36.276
2011 04 16 01	36.276
2011 04 16 02	36.276
2011 04 16 03	36.276
2011 04 16 04	36.276
2011 04 16 05	36.276
2011 04 16 06	36.276
2011 04 16 07	36.276
2011 04 16 08	36.276
2011 04 16 09	36.276
2011 04 16 10	36.276
2011 04 16 11	36.276
2011 04 16 12	36.276
2011 04 16 13	36.276
2011 04 16 14	36.276
2011 04 16 15	36.276
2011 04 16 16	36.276
2011 04 16 17	36.276
2011 04 16 18	36.276
2011 04 16 19	36.276
2011 04 16 20	36.276
2011 04 16 21	36.276
2011 04 16 22	36.276
2011 04 16 23	36.276
2011 04 17 00	36.232
2011 04 17 01	36.232
2011 04 17 02	36.232
2011 04 17 03	36.232
2011 04 17 04	36.232
2011 04 17 05	36.232
2011 04 17 06	36.232
2011 04 17 07	36.232
2011 04 17 08	36.232
2011 04 17 09	36.232
2011 04 17 10	36.232
2011 04 17 11	36.232
2011 04 17 12	36.232
2011 04 17 13	36.232
2011 04 17 14	36.232
2011 04 17 15	36.232
2011 04 17 16	36.232
2011 04 17 17	36.232
2011 04 17 18	36.232
2011 04 17 19	36.232
2011 04 17 20	36.232
2011 04 17 21	36.232
2011 04 17 22	36.232
2011 04 17 23	36.232
2011 04 18 00	36.279
2011 04 18 01	36.279
2011 04 18 02	36.279
2011 04 18 03	36.279
2011 04 18 04	36.279
2011 04 18 05	36.279
2011 04 18 06	36.279
2011 04 18 07	36.279
2011 04 18 08	36.279
2011 04 18 09	36.279
2011 04 18 10	36.279
2011 04 18 11	36.279
2011 04 18 12	36.279
2011 04 18 13	36.279
2011 04 18 14	36.279
2011 04 18 15	36.279
2011 04 18 16	36.279
2011 04 18 17	36.279
2011 04 18 18	36.279
2011 04 18 19	36.279
2011 04 18 20	36.279
2011 04 18 21	36.279
2011 04 18 22	36.279
2011 04 18 23	36.279
2011 04 19 00	36.326
2011 04 19 01	36.326
2011 04 19 02	36.326
2011 04 19 03	36.326
2011 04 19 04	36.326
2011 04 19 05	36.326
2011 04 19 06	36.326
2011 04 19 07	36.326
2011 04 19 08	36.326
2011 04 19 09	36.326
2011 04 19 10	36.326
2011 04 19 11	36.326
2011 04 19 12	36.326
2011 04 19 13	36.326
2011 04 19 14	36.326
2011 04 19 15	36.326
2011 04 19 16	36.326
2011 04 19 17	36.326
2011 04 19 18	36.326
2011 04 19 19	36.326
2011 04 19 20	36.326
2011 04 19 21	36.326
2011 04 19 22	36.326
2011 04 19 23	36.326
2011 04 20 00	36.333
2011 04 20 01	36.333
2011 04 20 02	36.333
2011 04 20 03	36.333
2011 04 20 04	36.333
2011 04 20 05	36.333
2011 04 20 06	36.333
2011 04 20 07	36.333
2011 04 20 08	36.333
2011 04 20 09	36.333
2011 04 20 10	36.333
2011 04 20 11	36.333
2011 04 20 12	36.333
2011 04 20 13	36.333
2011 04 20 14	36.333
2011 04 20 15	36.333
2011 04 20 16	36.333
2011 04 20 17	36.333
2011 04 20 18	36.333
2011 04 20 19	36.333
2011 04 20 20	36.333
2011 04 20 21	36.333
2011 04 20 22	36.333
2011 04 20 23	36.333
2011 04 21 00	36.294
2011 04 21 01	36.294
2011 04 21 02	36.294
2011 04 21 03	36.294
2011 04 21 04	36.294
2011 04 21 05	36.294
2011 04 21 06	36.294
2011 04 21 07	36.294
2011 04 21 08	36.294
2011 04 21 09	36.294
2011 04 21 10	36.294
2011 04 21 11	36.294
2011 04 21 12	36.294
2011 04 21 13	36.294
2011 04 21 14	36.294
2011 04 21 15	36.294
2011 04 21 16	36.294
2011 04 21 17	36.294
2011 04 21 18	36.294
2011 04 21 19	36.294
2011 04 21 20	36.294
2011 04 21 21	36.294
2011 04 21 22	36.294
2011 04 21 23	36.294
2011 04 22 00	36.018
2011 04 22 01	36.018
2011 04 22 02	36.018
2011 04 22 03	36.018
2011 04 22 04	36.018
2011 04 22 05	36.018
2011 04 22 06	36.018
2011 04 22 07	36.018
2011 04 22 08	36.018
2011 04 22 09	36.018
2011 04 22 10	36.018
2011 04 22 11	36.018
2011 04 22 12	36.018
2011 04 22 13	36.018
2011 04 22 14	36.018
2011 04 22 15	36.018
2011 04 22 16	36.018
2011 04 22 17	36.018
2011 04 22 18	36.018
2011 04 22 19	36.018
2011 04 22 20	36.018
2011 04 22 21	36.018
2011 04 22 22	36.018
2011 04 22 23	36.018
2011 04 23 00	35.828
2011 04 23 01	35.828
2011 04 23 02	35.828
2011 04 23 03	35.828
2011 04 23 04	35.828
2011 04 23 05	35.828
2011 04 23 06	35.828
2011 04 23 07	35.828
2011 04 23 08	35.828
2011 04 23 09	35.828
2011 04 23 10	35.828
2011 04 23 11	35.828
2011 04 23 12	35.828
2011 04 23 13	35.828
2011 04 23 14	35.828
2011 04 23 15	35.828
2011 04 23 16	35.828
2011 04 23 17	35.828
2011 04 23 18	35.828
2011 04 23 19	35.828
2011 04 23 20	35.828
2011 04 23 21	35.828
2011 04 23 22	35.828
2011 04 23 23	35.828
2011 04 24 00	35.969
2011 04 24 01	35.969
2011 04 24 02	35.969
2011 04 24 03	35.969
2011 04 24 04	35.969
2011 04 24 05	35.969
2011 04 24 06	35.969
2011 04 24 07	35.969
2011 04 24 08	35.969
2011 04 24 09	35.969
2011 04 24 10	35.969
2011 04 24 11	35.969
2011 04 24 12	35.969
2011 04 24 13	35.969
2011 04 24 14	35.969
2011 04 24 15	35.969
2011 04 24 16	35.969
2011 04 24 17	35.969
2011 04 24 18	35.969
2011 04 24 19	35.969
2011 04 24 20	35.969
2011 04 24 21	35.969
2011 04 24 22	35.969
2011 04 24 23	35.969
2011 04 25 00	36.039
2011 04 25 01	36.039
2011 04 25 02	36.039
2011 04 25 03	36.039
2011 04 25 04	36.039
2011 04 25 05	36.039
2011 04 25 06	36.039
2011 04 25 07	36.039
2011 04 25 08	36.039
2011 04 25 09	36.039
2011 04 25 10	36.039
2011 04 25 11	36.039
2011 04 25 12	36.039
2011 04 25 13	36.039
2011 04 25 14	36.039
2011 04 25 15	36.039
2011 04 25 16	36.039
2011 04 25 17	36.039
2011 04 25 18	36.039
2011 04 25 19	36.039
2011 04 25 20	36.039
2011 04 25 21	36.039
2011 04 25 22	36.039
2011 04 25 23	36.039
2011 04 26 00	36.172
2011 04 26 01	36.172
2011 04 26 02	36.172
2011 04 26 03	36.172
2011 04 26 04	36.172
2011 04 26 05	36.172
2011 04 26 06	36.172
2011 04 26 07	36.172
2011 04 26 08	36.172
2011 04 26 09	36.172
2011 04 26 10	36.172
2011 04 26 11	36.172
2011 04 26 12	36.172
2011 04 26 13	36.172
2011 04 26 14	36.172
2011 04 26 15	36.172
2011 04 26 16	36.172
2011 04 26 17	36.172
2011 04 26 18	36.172
2011 04 26 19	36.172
2011 04 26 20	36.172
2011 04 26 21	36.172
2011 04 26 22	36.172
2011 04 26 23	36.172
2011 04 27 00	36.228
2011 04 27 01	36.228
2011 04 27 02	36.228
2011 04 27 03	36.228
2011 04 27 04	36.228
2011 04 27 05	36.228
2011 04 27 06	36.228
2011 04 27 07	36.228
2011 04 27 08	36.228
2011 04 27 09	36.228
2011 04 27 10	36.228
2011 04 27 11	36.228
2011 04 27 12	36.228
2011 04 27 13	36.228
2011 04 27 14	36.228
2011 04 27 15	36.228
2011 04 27 16	36.228
2011 04 27 17	36.228
2011 04 27 18	36.228
2011 04 27 19	36.228
2011 04 27 20	36.228
2011 04 27 21	36.228
2011 04 27 22	36.228
2011 04 27 23	36.228
2011 04 28 00	36.169
2011 04 28 01	36.169
2011 04 28 02	36.169
2011 04 28 03	36.169
2011 04 28 04	36.169
2011 04 28 05	36.169
2011 04 28 06	36.169
2011 04 28 07	36.169
2011 04 28 08	36.169
2011 04 28 09	36.169
2011 04 28 10	36.169
2011 04 28 11	36.169
